종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
조일알미늄,1606,+12.78%,115,KOSPI,,"[{'title': '남선 발목잡지말고', 'likes': '10', 'link': '/item/board_read.naver?code=018470&nid=416833951&page=3', 'body': ''}, {'title': '여기서 멈추면안돼', 'likes': '8', 'link': '/item/board_read.naver?code=018470&nid=416834456&page=3', 'body': ''}, {'title': '내일 상한가 네', 'likes': '7', 'link': '/item/board_read.naver?code=018470&nid=416879113&page=1', 'body': ''}, {'title': '남선은 2천원대 놀고 있는데,,,[1]', 'likes': '7', 'link': '/item/board_read.naver?code=018470&nid=416855036&page=2', 'body': ''}, {'title': '익절 빠이~', 'likes': '7', 'link': '/item/board_read.naver?code=018470&nid=416835823&page=3', 'body': ''}]",018470
리튬포어스,663,+12.76%,12,KOSDAQ,,"[{'title': '상한가.[1]', 'likes': '3', 'link': '/item/board_read.naver?code=073570&nid=416832681&page=1', 'body': ''}, {'title': '일단 오늘 저점은 611부근???[2]', 'likes': '2', 'link': '/item/board_read.naver?code=073570&nid=416843649&page=1', 'body': ''}, {'title': '내일은 다시 4%대 하락???', 'likes': '2', 'link': '/item/board_read.naver?code=073570&nid=416837683&page=1', 'body': ''}, {'title': '항상 6시간은 하락', 'likes': '1', 'link': '/item/board_read.naver?code=073570&nid=416837502&page=1', 'body': ''}, {'title': '오늘 장', 'likes': '1', 'link': '/item/board_read.naver?code=073570&nid=416826279&page=1', 'body': ''}]",073570
삼성E&A,45650,+12.58%,298,KOSPI,,"[{'title': '■■■수고들 하셨습니다■■■[2]', 'likes': '28', 'link': '/item/board_read.naver?code=028050&nid=416885615&page=2', 'body': ''}, {'title': '■■■미국ㆍ이란ㅡ45일휴전후종전 수용...[2]', 'likes': '24', 'link': '/item/board_read.naver?code=028050&nid=416887237&page=1', 'body': ''}, {'title': '단기 저점', 'likes': '17', 'link': '/item/board_read.naver?code=028050&nid=416884620&page=2', 'body': ''}, {'title': '단타치다가 배아파하는 거지들이 많네요', 'likes': '15', 'link': '/item/board_read.naver?code=028050&nid=416883652&page=2', 'body': ''}, {'title': '자자 오늘 오신분들 들어보세요. 이 주식이 왜...', 'likes': '14', 'link': '/item/board_read.naver?code=028050&nid=416882650&page=3', 'body': ''}]",028050
롯데에너지머티리얼즈,45450,+12.36%,63,KOSPI,,"[{'title': '우리도', 'likes': '9', 'link': '/item/board_read.naver?code=020150&nid=416827122&page=2', 'body': ''}, {'title': '하 내 예측이 맞았는데..', 'likes': '9', 'link': '/item/board_read.naver?code=020150&nid=416820385&page=2', 'body': ''}, {'title': 'ㅎ.ㅎ[1]', 'likes': '8', 'link': '/item/board_read.naver?code=020150&nid=416871504&page=1', 'body': ''}, {'title': '내일도', 'likes': '8', 'link': '/item/board_read.naver?code=020150&nid=416865033&page=1', 'body': ''}, {'title': '느낌 오네... 상한가...[2]', 'likes': '8', 'link': '/item/board_read.naver?code=020150&nid=416818183&page=3', 'body': ''}]",020150
한솔아이원스,14270,+12.10%,13,KOSDAQ,,"[{'title': '한솔아이원스를 소재·부품 섹터 Top-pick', 'likes': '10', 'link': '/item/board_read.naver?code=114810&nid=416824583&page=1', 'body': ''}, {'title': '이왕시작한것[1]', 'likes': '7', 'link': '/item/board_read.naver?code=114810&nid=416833148&page=1', 'body': ''}, {'title': '이거 호잰가', 'likes': '6', 'link': '/item/board_read.naver?code=114810&nid=416888361&page=1', 'body': ''}, {'title': '반도체&디스플레이 수율잡는 정밀 기술력', 'likes': '6', 'link': '/item/board_read.naver?code=114810&nid=416848014&page=1', 'body': ''}, {'title': '느낌이 좋다.[2]', 'likes': '4', 'link': '/item/board_read.naver?code=114810&nid=416872119&page=1', 'body': ''}]",114810
이루온,3205,+11.67%,20,KOSDAQ,,"[{'title': '광통신 유일 우량주[2]', 'likes': '10', 'link': '/item/board_read.naver?code=065440&nid=416844238&page=1', 'body': ''}, {'title': '시총 850 억', 'likes': '6', 'link': '/item/board_read.naver?code=065440&nid=416839895&page=1', 'body': ''}, {'title': '광전자', 'likes': '5', 'link': '/item/board_read.naver?code=065440&nid=416819348&page=1', 'body': ''}, {'title': '상간다 풀매수', 'likes': '5', 'link': '/item/board_read.naver?code=065440&nid=416809424&page=1', 'body': ''}, {'title': '오늘 쉬고 내일 상 상[1]', 'likes': '4', 'link': '/item/board_read.naver?code=065440&nid=416880787&page=1', 'body': ''}]",065440
네패스아크,29100,+11.28%,13,KOSDAQ,,"[{'title': '파는거 아닙니다', 'likes': '7', 'link': '/item/board_read.naver?code=330860&nid=416862107&page=1', 'body': ''}, {'title': '49000원 올까요[2]', 'likes': '7', 'link': '/item/board_read.naver?code=330860&nid=416839356&page=1', 'body': ''}, {'title': '대차랑 공매도 죽어봐라', 'likes': '5', 'link': '/item/board_read.naver?code=330860&nid=416809108&page=1', 'body': ''}, {'title': '오늘', 'likes': '4', 'link': '/item/board_read.naver?code=330860&nid=416858440&page=1', 'body': ''}, {'title': '요며칠 계속 전강후약이네요.', 'likes': '4', 'link': '/item/board_read.naver?code=330860&nid=416822466&page=1', 'body': ''}]",330860
후성,9900,+10.99%,298,KOSPI,,"[{'title': '증권회사에 다니시는 지인이[2]', 'likes': '16', 'link': '/item/board_read.naver?code=093370&nid=416887479&page=1', 'body': ''}, {'title': 'Lipf6 시세도 많이 올랐음[1]', 'likes': '16', 'link': '/item/board_read.naver?code=093370&nid=416882979&page=1', 'body': ''}, {'title': '어차피 오른다 이건 중국이 핵심', 'likes': '14', 'link': '/item/board_read.naver?code=093370&nid=416882682&page=1', 'body': ''}, {'title': '추가매수 완료 대박 가봅시다 부족 사태~~', 'likes': '14', 'link': '/item/board_read.naver?code=093370&nid=416826585&page=11', 'body': ''}, {'title': '와 주차실력 지린다[4]', 'likes': '13', 'link': '/item/board_read.naver?code=093370&nid=416885341&page=1', 'body': ''}]",093370
아이티센엔텍,1208,+10.52%,11,KOSDAQ,,"[{'title': '거래정지 몇일까지인지 알수 잇을까요~~?[2]', 'likes': '4', 'link': '/item/board_read.naver?code=010280&nid=416832138&page=1', 'body': ''}, {'title': '씨티에스 가지고있었는데 애만오르길래 짜증나서...[1]', 'likes': '2', 'link': '/item/board_read.naver?code=010280&nid=416825877&page=1', 'body': ''}, {'title': '시간업따', 'likes': '2', 'link': '/item/board_read.naver?code=010280&nid=416819647&page=1', 'body': ''}, {'title': '제4인뱅 논의 재점화', 'likes': '1', 'link': '/item/board_read.naver?code=010280&nid=416859664&page=1', 'body': ''}, {'title': '퍼뜩[1]', 'likes': '1', 'link': '/item/board_read.naver?code=010280&nid=416849032&page=1', 'body': ''}]",010280
심텍,54500,+9.99%,46,KOSDAQ,,"[{'title': '상한번', 'likes': '11', 'link': '/item/board_read.naver?code=222800&nid=416809685&page=2', 'body': ''}, {'title': '헉헉', 'likes': '8', 'link': '/item/board_read.naver?code=222800&nid=416808889&page=2', 'body': ''}, {'title': '뭐냐 에프터에서 외국인[2]', 'likes': '7', 'link': '/item/board_read.naver?code=222800&nid=416885716&page=1', 'body': ''}, {'title': '심텍', 'likes': '7', 'link': '/item/board_read.naver?code=222800&nid=416814055&page=2', 'body': ''}, {'title': '많이들 팔아 재끼는구마잉', 'likes': '7', 'link': '/item/board_read.naver?code=222800&nid=416809718&page=2', 'body': ''}]",222800
