종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
에코플라스틱,4020,+3.74%,125,KOSDAQ,3875.0,"[{'title': '시외 급락인데 의외로[3]', 'likes': '8', 'link': '/item/board_read.naver?code=038110&nid=416877801&page=1', 'body': ''}, {'title': '오늘 , 시외보니 꼬라지가[2]', 'likes': '7', 'link': '/item/board_read.naver?code=038110&nid=416882728&page=1', 'body': ''}, {'title': '시간외 대박이네ᆢㅎ[4]', 'likes': '7', 'link': '/item/board_read.naver?code=038110&nid=416873955&page=2', 'body': ''}, {'title': '수령 합의[1]', 'likes': '6', 'link': '/item/board_read.naver?code=038110&nid=416874533&page=2', 'body': ''}, {'title': '이란 사우스파스 석유화학 시설서 다수 폭발음 ...', 'likes': '5', 'link': '/item/board_read.naver?code=038110&nid=416884931&page=1', 'body': ''}]",038110
삼성전자,193100,+3.71%,296,KOSPI,186192.0,"[{'title': '50조 초반이라고 속보떳네요[2]', 'likes': '33', 'link': '/item/board_read.naver?code=005930&nid=416894196&page=8', 'body': ''}, {'title': '낼 삼전[3]', 'likes': '23', 'link': '/item/board_read.naver?code=005930&nid=416893896&page=8', 'body': ''}, {'title': '마이크론 폭등하네...', 'likes': '22', 'link': '/item/board_read.naver?code=005930&nid=416894116&page=8', 'body': ''}, {'title': '오늘 매도한 모지리들 시방 잠이 오냐 ㅋㅋ[1]', 'likes': '21', 'link': '/item/board_read.naver?code=005930&nid=416895338&page=4', 'body': ''}, {'title': '씨게이트  8퍼폭등 샌디 4퍼 마이크론 4퍼', 'likes': '21', 'link': '/item/board_read.naver?code=005930&nid=416893839&page=9', 'body': ''}]",005930
대우건설,17310,+2.97%,298,KOSPI,16810.0,"[{'title': '[시총92위] [외인공매 정신이 있나~ 공매순...[16]', 'likes': '92', 'link': '/item/board_read.naver?code=047040&nid=416886453&page=2', 'body': ''}, {'title': '■17600-바닥잡고[5]', 'likes': '41', 'link': '/item/board_read.naver?code=047040&nid=416819892&page=13', 'body': ''}, {'title': '[알아서하겠지 냅둘라했는데~공매 쉽게 안죽...[3]', 'likes': '41', 'link': '/item/board_read.naver?code=047040&nid=416819150&page=14', 'body': ''}, {'title': '■부자집 곳간에 인심난다고[4]', 'likes': '38', 'link': '/item/board_read.naver?code=047040&nid=416849251&page=8', 'body': ''}, {'title': '■삼전-19만 매물벽[6]', 'likes': '36', 'link': '/item/board_read.naver?code=047040&nid=416871588&page=5', 'body': ''}]",047040
SK하이닉스,886000,+1.14%,295,KOSPI,876013.0,"[{'title': '오늘 90만 내일 95만 모레 100만 ...[2]', 'likes': '38', 'link': '/item/board_read.naver?code=000660&nid=416885813&page=6', 'body': ''}, {'title': '이란 한국과 통과 협의 중[1]', 'likes': '32', 'link': '/item/board_read.naver?code=000660&nid=416887653&page=5', 'body': ''}, {'title': '1분기 실적[1]', 'likes': '32', 'link': '/item/board_read.naver?code=000660&nid=416887231&page=5', 'body': ''}, {'title': '90만원에 안착해놨네요', 'likes': '32', 'link': '/item/board_read.naver?code=000660&nid=416885640&page=6', 'body': ''}, {'title': '속보.  내일 100만. 가뿐닉스 확정', 'likes': '27', 'link': '/item/board_read.naver?code=000660&nid=416890644&page=4', 'body': ''}]",000660
피노,10330,+0.88%,292,KOSDAQ,10239.0,"[{'title': '외인지분변동 - 금일포함 44.8~9%[3]', 'likes': '35', 'link': '/item/board_read.naver?code=033790&nid=416880046&page=2', 'body': ''}, {'title': '삼성sdi에 전화해봄[7]', 'likes': '33', 'link': '/item/board_read.naver?code=033790&nid=416848198&page=8', 'body': ''}, {'title': '삼성SDI도 LG엔솔도 엘앤에프도 전구...[1]', 'likes': '20', 'link': '/item/board_read.naver?code=033790&nid=416867494&page=3', 'body': ''}, {'title': '[피노가 삼성 등 유증대금 700억 원]으로 ...[2]', 'likes': '20', 'link': '/item/board_read.naver?code=033790&nid=416866196&page=4', 'body': ''}, {'title': '● 앞으로 매출액이 1조 넘어가게 될듯~[1]', 'likes': '19', 'link': '/item/board_read.naver?code=033790&nid=416881241&page=2', 'body': ''}]",033790
넥스틸,14990,+0.47%,295,KOSPI,14919.0,"[{'title': '쩜상인데요?[3]', 'likes': '14', 'link': '/item/board_read.naver?code=092790&nid=416889915&page=1', 'body': ''}, {'title': '이놈', 'likes': '13', 'link': '/item/board_read.naver?code=092790&nid=416883599&page=1', 'body': ''}, {'title': '철강 무기수요 재건수요 송유관수요!!', 'likes': '12', 'link': '/item/board_read.naver?code=092790&nid=416887008&page=1', 'body': ''}, {'title': '외인들 오늘 역대급 쌍글이 순 매수 매집의 의미[3]', 'likes': '10', 'link': '/item/board_read.naver?code=092790&nid=416865633&page=6', 'body': ''}, {'title': '올린놈들이 다 파는거 같애[1]', 'likes': '9', 'link': '/item/board_read.naver?code=092790&nid=416830905&page=11', 'body': ''}]",092790
한화솔루션,38150,-2.30%,300,KOSPI,39048.0,"[{'title': '막 3300주 동참했다.[2]', 'likes': '47', 'link': '/item/board_read.naver?code=009830&nid=416888589&page=4', 'body': ''}, {'title': '돈 없다며 배당금 1,000억은 꿀꺽[2]', 'likes': '38', 'link': '/item/board_read.naver?code=009830&nid=416888444&page=4', 'body': ''}, {'title': '액트 0.14%만 채우면 임시주총 우리가 주최할...[3]', 'likes': '38', 'link': '/item/board_read.naver?code=009830&nid=416878680&page=8', 'body': ''}, {'title': '다시 2.86% 0.14%남았어요!!!', 'likes': '38', 'link': '/item/board_read.naver?code=009830&nid=416874920&page=9', 'body': ''}, {'title': '와 ! 한화솔루션 주주들 진심 존경스럽[1]', 'likes': '36', 'link': '/item/board_read.naver?code=009830&nid=416891128&page=2', 'body': ''}]",009830
쏠리드,15640,-4.05%,120,KOSDAQ,16300.0,"[{'title': '하느님 감사 합니다[1]', 'likes': '12', 'link': '/item/board_read.naver?code=050890&nid=416841119&page=3', 'body': ''}, {'title': '수급 어쩌고 백날 얘기해봐야 오르질 못하면 그...', 'likes': '10', 'link': '/item/board_read.naver?code=050890&nid=416815156&page=5', 'body': ''}, {'title': '전쟁종식각 낼부터 위로 쏠리드~~~', 'likes': '9', 'link': '/item/board_read.naver?code=050890&nid=416878553&page=1', 'body': ''}, {'title': '에효[1]', 'likes': '9', 'link': '/item/board_read.naver?code=050890&nid=416834385&page=3', 'body': ''}, {'title': 'AI네트워크 시대, 매출이 폭발하는 인프라...[1]', 'likes': '7', 'link': '/item/board_read.naver?code=050890&nid=416893099&page=1', 'body': ''}]",050890
우리기술,20600,-4.63%,236,KOSDAQ,21600.0,"[{'title': '내일 몇퍼 상승할까?[1]', 'likes': '16', 'link': '/item/board_read.naver?code=032820&nid=416867803&page=2', 'body': ''}, {'title': '개인처럼보이냐 ㅉㅉ[1]', 'likes': '15', 'link': '/item/board_read.naver?code=032820&nid=416879704&page=1', 'body': ''}, {'title': '님들아', 'likes': '15', 'link': '/item/board_read.naver?code=032820&nid=416854683&page=3', 'body': ''}, {'title': '죽을줄  모르고', 'likes': '13', 'link': '/item/board_read.naver?code=032820&nid=416828740&page=7', 'body': ''}, {'title': '주주인데 우리기술은 그냥 희망없다[3]', 'likes': '12', 'link': '/item/board_read.naver?code=032820&nid=416881251&page=1', 'body': ''}]",032820
흥아해운,3790,-7.33%,300,KOSPI,4089.0,"[{'title': '자 왜 종전 안되는지 알려줄게[4]', 'likes': '29', 'link': '/item/board_read.naver?code=003280&nid=416886991&page=4', 'body': ''}, {'title': '뭐가 걱정인가[2]', 'likes': '24', 'link': '/item/board_read.naver?code=003280&nid=416886917&page=4', 'body': ''}, {'title': '시외 매수한 사람들이[1]', 'likes': '24', 'link': '/item/board_read.naver?code=003280&nid=416885990&page=5', 'body': ''}, {'title': '속보, 이란내 가스전 폭격중[2]', 'likes': '21', 'link': '/item/board_read.naver?code=003280&nid=416887383&page=4', 'body': ''}, {'title': '이란측 공식뉴스 나옴~ 주가 돌려놓으시길 ~[1]', 'likes': '19', 'link': '/item/board_read.naver?code=003280&nid=416884807&page=5', 'body': ''}]",003280
휴스틸,5620,-7.72%,128,KOSPI,6090.0,"[{'title': '창피한줄 알아라[1]', 'likes': '11', 'link': '/item/board_read.naver?code=005010&nid=416846486&page=4', 'body': ''}, {'title': '프리스트야[1]', 'likes': '7', 'link': '/item/board_read.naver?code=005010&nid=416886718&page=1', 'body': ''}, {'title': '봣냐 시간외매도자', 'likes': '7', 'link': '/item/board_read.naver?code=005010&nid=416881860&page=1', 'body': ''}, {'title': '거부 ㅎ', 'likes': '7', 'link': '/item/board_read.naver?code=005010&nid=416880583&page=1', 'body': ''}, {'title': '기관도 털고있네 ㅎ[3]', 'likes': '7', 'link': '/item/board_read.naver?code=005010&nid=416866378&page=2', 'body': ''}]",005010
SK이터닉스,62000,-9.09%,298,KOSPI,68199.0,"[{'title': '전쟁끝나면 더 오른다[1]', 'likes': '24', 'link': '/item/board_read.naver?code=475150&nid=416886499&page=4', 'body': ''}, {'title': '트럼프가[3]', 'likes': '20', 'link': '/item/board_read.naver?code=475150&nid=416889595&page=2', 'body': ''}, {'title': '유가 개급등', 'likes': '19', 'link': '/item/board_read.naver?code=475150&nid=416892660&page=1', 'body': ''}, {'title': '오늘 털린애들 반성해라', 'likes': '19', 'link': '/item/board_read.naver?code=475150&nid=416890368&page=2', 'body': ''}, {'title': '●앞으로', 'likes': '18', 'link': '/item/board_read.naver?code=475150&nid=416886964&page=4', 'body': ''}]",475150
한국ANKOR유전,267,-9.49%,120,KOSPI,294.0,"[{'title': '[속보] ""미국·이란, 휴전 후 종전 2단계 ...[7]', 'likes': '6', 'link': '/item/board_read.naver?code=152550&nid=416863999&page=2', 'body': ''}, {'title': '오늘 상한가 가도 383원,  400원도 ...', 'likes': '6', 'link': '/item/board_read.naver?code=152550&nid=416813911&page=5', 'body': ''}, {'title': '이란도  미국도  한치도  양보  없단다  ~', 'likes': '5', 'link': '/item/board_read.naver?code=152550&nid=416857431&page=2', 'body': ''}, {'title': '이제는…………[1]', 'likes': '5', 'link': '/item/board_read.naver?code=152550&nid=416852458&page=2', 'body': ''}, {'title': '낼부터 줄쩜상 2차폭등 시작.또람프때문에 미국...[2]', 'likes': '4', 'link': '/item/board_read.naver?code=152550&nid=416887652&page=1', 'body': ''}]",152550
우리로,6950,-9.74%,220,KOSDAQ,7699.0,"[{'title': '예언...[4]', 'likes': '33', 'link': '/item/board_read.naver?code=046970&nid=416872508&page=2', 'body': ''}, {'title': '시간외3.6%폭등마감우리로[2]', 'likes': '31', 'link': '/item/board_read.naver?code=046970&nid=416877843&page=2', 'body': ''}, {'title': '왕의 귀환[3]', 'likes': '18', 'link': '/item/board_read.naver?code=046970&nid=416887520&page=1', 'body': ''}, {'title': '그대여 아무 걱정하지 말아요[1]', 'likes': '18', 'link': '/item/board_read.naver?code=046970&nid=416886902&page=1', 'body': ''}, {'title': '내일[2]', 'likes': '17', 'link': '/item/board_read.naver?code=046970&nid=416878354&page=2', 'body': ''}]",046970
