date,code,open,high,low,close,volume,amount,name
20260813,005380,419500.0,431500.0,415000.0,418500.0,590756.0,248558620250.0,현대차
20260812,005380,403000.0,413000.0,400500.0,409500.0,411565.0,168260166750.0,현대차
20260811,005380,406000.0,411000.0,400500.0,403000.0,327064.0,132199738500.0,현대차
20260810,005380,396000.0,410500.0,392500.0,408000.0,458584.0,185390113500.0,현대차
20260807,005380,401000.0,406000.0,387000.0,395500.0,415672.0,163439855000.0,현대차
20260806,005380,401000.0,415000.0,390000.0,400000.0,527513.0,210737373500.0,현대차
20260805,005380,401500.0,411000.0,400500.0,404500.0,545657.0,221508528000.0,현대차
20260804,005380,395500.0,396500.0,376000.0,392500.0,680354.0,261999005500.0,현대차
20260803,005380,383000.0,401500.0,376000.0,393000.0,826843.0,323886553750.0,현대차
20260731,005380,370000.0,391500.0,366000.0,388000.0,1085656.0,412877822000.0,현대차
20260730,005380,346000.0,369000.0,343500.0,351000.0,961582.0,339415528500.0,현대차
20260729,005380,369500.0,382000.0,338500.0,353500.0,1566493.0,564039948000.0,현대차
20260907,207940,1455000.0,1456000.0,1447000.0,1451000.0,855.0,1242521000.0,삼성바이오로직스
20260904,207940,1484000.0,1487000.0,1433000.0,1447000.0,45399.0,65855449500.0,삼성바이오로직스
20260903,207940,1501000.0,1505000.0,1451000.0,1477000.0,34227.0,50523435500.0,삼성바이오로직스
20260902,207940,1493000.0,1519000.0,1490000.0,1501000.0,36243.0,54317817500.0,삼성바이오로직스
20260901,207940,1500000.0,1520000.0,1497000.0,1520000.0,29197.0,44074112000.0,삼성바이오로직스
20260831,207940,1481000.0,1518000.0,1448000.0,1518000.0,86767.0,130578189000.0,삼성바이오로직스
20260828,207940,1507000.0,1540000.0,1480000.0,1486000.0,111160.0,166680966129.0,삼성바이오로직스
20260827,207940,1602000.0,1611000.0,1584000.0,1594000.0,29767.0,47389412000.0,삼성바이오로직스
20260826,207940,1599000.0,1611000.0,1577000.0,1599000.0,40816.0,65185859000.0,삼성바이오로직스
20260825,207940,1551000.0,1596000.0,1537000.0,1585000.0,42479.0,66888574500.0,삼성바이오로직스
20260824,207940,1559000.0,1575000.0,1543000.0,1573000.0,32870.0,51392377000.0,삼성바이오로직스
20260821,207940,1539000.0,1564000.0,1530000.0,1551000.0,44704.0,69165846000.0,삼성바이오로직스
20260820,207940,1622000.0,1645000.0,1546000.0,1574000.0,62565.0,98865258000.0,삼성바이오로직스
20260819,207940,1507000.0,1544000.0,1486000.0,1544000.0,28670.0,43744707000.0,삼성바이오로직스
20260818,207940,1533000.0,1542000.0,1515000.0,1531000.0,37718.0,57725177000.0,삼성바이오로직스
20260814,207940,1557000.0,1574000.0,1546000.0,1548000.0,29916.0,46418943500.0,삼성바이오로직스
20260813,207940,1556000.0,1571000.0,1531000.0,1564000.0,55792.0,86750897500.0,삼성바이오로직스
20260812,207940,1609000.0,1628000.0,1545000.0,1549000.0,69313.0,109155121500.0,삼성바이오로직스
20260811,207940,1571000.0,1623000.0,1567000.0,1609000.0,69856.0,112078249500.0,삼성바이오로직스
20260810,207940,1556000.0,1572000.0,1532000.0,1569000.0,42211.0,65865239500.0,삼성바이오로직스
20260807,207940,1503000.0,1556000.0,1490000.0,1556000.0,51786.0,79345253000.0,삼성바이오로직스
20260806,207940,1505000.0,1514000.0,1477000.0,1514000.0,48730.0,73038830000.0,삼성바이오로직스
20260805,207940,1473000.0,1519000.0,1473000.0,1491000.0,52180.0,77867523000.0,삼성바이오로직스
20260804,207940,1424000.0,1476000.0,1406000.0,1476000.0,51711.0,74950231500.0,삼성바이오로직스
20260803,207940,1473000.0,1473000.0,1411000.0,1423000.0,47113.0,67299930000.0,삼성바이오로직스
20260731,207940,1526000.0,1537000.0,1455000.0,1485000.0,90690.0,134124541000.0,삼성바이오로직스
20260730,207940,1473000.0,1541000.0,1442000.0,1527000.0,83710.0,125880985500.0,삼성바이오로직스
20260729,207940,1544000.0,1561000.0,1435000.0,1479000.0,91074.0,135571473000.0,삼성바이오로직스
20260907,032830,307500.0,311000.0,306000.0,308500.0,9019.0,2783142500.0,삼성생명
20260904,032830,305000.0,305000.0,294500.0,297500.0,292663.0,87219853000.0,삼성생명
20260903,032830,299000.0,311000.0,296000.0,303000.0,360074.0,109252313250.0,삼성생명
20260902,032830,299000.0,302500.0,290000.0,294000.0,269923.0,79566088500.0,삼성생명
20260901,032830,300000.0,310500.0,296000.0,309500.0,306643.0,93625284000.0,삼성생명
20260831,032830,300500.0,311000.0,297000.0,306000.0,440735.0,134334268848.0,삼성생명
20260828,032830,302500.0,311000.0,299500.0,310000.0,273414.0,84219064250.0,삼성생명
20260827,032830,312500.0,315500.0,301500.0,307000.0,293798.0,90166546500.0,삼성생명
20260826,032830,293000.0,316500.0,286500.0,309500.0,1073963.0,326812991500.0,삼성생명
20260825,032830,284000.0,290000.0,275000.0,285000.0,361895.0,102630645000.0,삼성생명
20260824,032830,321500.0,322000.0,285500.0,285500.0,714630.0,211014105750.0,삼성생명
20260821,032830,291500.0,329000.0,287000.0,328500.0,1038229.0,327804806250.0,삼성생명
20260820,032830,286000.0,306500.0,283500.0,297000.0,581363.0,171757049500.0,삼성생명
20260819,032830,295500.0,295500.0,275000.0,276000.0,490065.0,137338892650.0,삼성생명
20260818,032830,308000.0,317500.0,301000.0,310500.0,501630.0,156560266000.0,삼성생명
20260814,032830,297000.0,309500.0,293500.0,301000.0,393407.0,117956229796.0,삼성생명
20260813,032830,311000.0,321500.0,289000.0,291500.0,561760.0,167352653000.0,삼성생명
20260812,032830,299000.0,310000.0,296500.0,302500.0,383931.0,116892222500.0,삼성생명
20260811,032830,278000.0,291000.0,271500.0,289500.0,287247.0,81967572695.0,삼성생명
20260810,032830,275000.0,283000.0,274000.0,280500.0,330280.0,92472440862.0,삼성생명
20260807,032830,281500.0,284500.0,270000.0,275500.0,394855.0,108635920250.0,삼성생명
20260806,032830,288000.0,291500.0,274000.0,287500.0,305933.0,86563387250.0,삼성생명
20260805,032830,294500.0,296500.0,281500.0,294000.0,636762.0,183077762549.0,삼성생명
20260804,032830,284000.0,288000.0,268500.0,278000.0,691982.0,190073987750.0,삼성생명
20260803,032830,298000.0,303000.0,279000.0,287500.0,355395.0,101670253880.0,삼성생명
20260731,032830,296500.0,315500.0,290000.0,311500.0,561861.0,172006836850.0,삼성생명
20260730,032830,264000.0,280000.0,257000.0,264000.0,617177.0,164101744000.0,삼성생명
20260729,032830,284500.0,288000.0,246000.0,265500.0,581469.0,153424072250.0,삼성생명
20260907,105560,173700.0,175000.0,172800.0,174300.0,28677.0,4982690650.0,KB금융
20260904,105560,178000.0,178300.0,170800.0,172000.0,1344239.0,232543894644.0,KB금융
20260903,105560,171600.0,180700.0,169400.0,177900.0,1523951.0,270506250500.0,KB금융
20260902,105560,169500.0,175000.0,168700.0,169100.0,1402814.0,240132092300.0,KB금융
20260901,105560,169100.0,173200.0,168900.0,171200.0,1949667.0,333462087250.0,KB금융
20260831,105560,175000.0,175300.0,169700.0,173300.0,3030441.0,524655019050.0,KB금융
20260828,105560,166000.0,171700.0,164600.0,171600.0,880809.0,149193772410.0,KB금융
20260827,105560,168900.0,170800.0,166200.0,168100.0,755518.0,127263812450.0,KB금융
20260826,105560,165700.0,167800.0,162200.0,166600.0,612806.0,101880547555.0,KB금융
20260825,105560,163200.0,166700.0,162100.0,166400.0,719239.0,118938843650.0,KB금융
20260824,105560,162500.0,163600.0,160000.0,163100.0,630055.0,102060646850.0,KB금융
20260821,105560,161000.0,164600.0,159500.0,164300.0,1165965.0,189799334500.0,KB금융
20260820,105560,163600.0,165300.0,159800.0,160000.0,1332300.0,214870095200.0,KB금융
20260819,105560,165900.0,166600.0,159900.0,166400.0,912179.0,149548328950.0,KB금융
20260818,105560,168400.0,168500.0,166100.0,168500.0,856473.0,143457468700.0,KB금융
20260814,105560,167100.0,169800.0,166400.0,168500.0,951351.0,159988557050.0,KB금융
20260813,105560,167400.0,170400.0,165800.0,168100.0,1281602.0,214874477900.0,KB금융
20260812,105560,168200.0,170300.0,165600.0,166000.0,920851.0,153815676200.0,KB금융
20260811,105560,172600.0,172700.0,166000.0,166600.0,1039635.0,174770688900.0,KB금융
20260810,105560,174600.0,175400.0,168600.0,171700.0,690184.0,117909188450.0,KB금융
20260807,105560,169200.0,176900.0,169200.0,175800.0,802418.0,139920333650.0,KB금융
20260806,105560,172000.0,173200.0,169700.0,171500.0,729378.0,124857383300.0,KB금융
20260805,105560,172000.0,176800.0,170400.0,170700.0,834785.0,143901967400.0,KB금융
20260804,105560,169800.0,170600.0,165800.0,168800.0,743858.0,125325227000.0,KB금융
20260803,105560,168000.0,170600.0,164600.0,169500.0,921537.0,154860431550.0,KB금융
20260731,105560,167500.0,169300.0,161600.0,168500.0,1520142.0,254146892950.0,KB금융
20260730,105560,160100.0,171700.0,160000.0,167400.0,1676656.0,279963647050.0,KB금융
20260729,105560,165300.0,170500.0,156000.0,160100.0,1626420.0,264463724400.0,KB금융
20260907,028260,378000.0,382000.0,368500.0,379000.0,22350.0,8377202250.0,삼성물산
20260904,028260,371500.0,372000.0,352500.0,367000.0,395781.0,143670487250.0,삼성물산
20260903,028260,383500.0,388000.0,370000.0,372000.0,308836.0,116609080250.0,삼성물산
20260902,028260,380000.0,398000.0,372500.0,373000.0,326797.0,124478071750.0,삼성물산
20260901,028260,374000.0,392000.0,369500.0,390500.0,300801.0,115761209250.0,삼성물산
20260831,028260,361000.0,378500.0,356500.0,376500.0,310104.0,115852110628.0,삼성물산
20260828,028260,370000.0,380000.0,368000.0,375000.0,234364.0,87728304500.0,삼성물산
20260827,028260,391500.0,393500.0,370000.0,375500.0,394068.0,149411132844.0,삼성물산
20260826,028260,372000.0,390000.0,367000.0,387500.0,381969.0,146560867000.0,삼성물산
20260825,028260,364500.0,368500.0,354500.0,367000.0,435373.0,157662002500.0,삼성물산
20260824,028260,383000.0,383500.0,359500.0,364500.0,492551.0,179549869000.0,삼성물산
20260821,028260,370000.0,400000.0,368000.0,395500.0,585501.0,226818514250.0,삼성물산
20260820,028260,357000.0,377500.0,349000.0,374000.0,463427.0,171103644750.0,삼성물산
20260819,028260,343500.0,350500.0,335500.0,347000.0,276885.0,95339133500.0,삼성물산
20260818,028260,379000.0,383500.0,363000.0,369000.0,420709.0,157089376500.0,삼성물산
20260814,028260,369500.0,375000.0,360500.0,369000.0,276255.0,101489609250.0,삼성물산
20260813,028260,375500.0,380000.0,360000.0,365000.0,505842.0,186181839000.0,삼성물산
20260812,028260,347500.0,361500.0,347000.0,357500.0,461264.0,164729341334.0,삼성물산
20260811,028260,332500.0,349500.0,328000.0,344500.0,340367.0,116714062500.0,삼성물산
20260810,028260,342000.0,353500.0,326500.0,336000.0,244445.0,82623819250.0,삼성물산
20260807,028260,333500.0,338500.0,323500.0,336500.0,268394.0,88970918250.0,삼성물산
20260806,028260,343000.0,349500.0,322000.0,334000.0,319718.0,106480394000.0,삼성물산
20260805,028260,338500.0,350000.0,335000.0,347500.0,339053.0,116600045500.0,삼성물산
20260804,028260,331000.0,332500.0,312000.0,322500.0,485793.0,154961375250.0,삼성물산
20260803,028260,347000.0,347000.0,322000.0,329000.0,299582.0,98499101560.0,삼성물산
20260731,028260,335000.0,357500.0,321000.0,351500.0,1241836.0,430946057185.0,삼성물산
20260730,028260,287000.0,322000.0,283000.0,294000.0,854257.0,255264723250.0,삼성물산
20260729,028260,305500.0,312000.0,262000.0,285500.0,880125.0,250183567750.0,삼성물산
20260907,012450,1078000.0,1078000.0,1055000.0,1061000.0,3617.0,3856096000.0,한화에어로스페이스
20260904,012450,1057000.0,1067000.0,1036000.0,1055000.0,62321.0,65429784500.0,한화에어로스페이스
20260903,012450,1035000.0,1075000.0,1012000.0,1047000.0,98743.0,103291196000.0,한화에어로스페이스
20260902,012450,1048000.0,1053000.0,1010000.0,1025000.0,91966.0,94568847500.0,한화에어로스페이스
20260901,012450,1111000.0,1123000.0,1050000.0,1058000.0,113852.0,121175676500.0,한화에어로스페이스
20260831,012450,1157000.0,1169000.0,1092000.0,1102000.0,178097.0,200200262000.0,한화에어로스페이스
20260828,012450,1139000.0,1158000.0,1113000.0,1157000.0,116700.0,132345926500.0,한화에어로스페이스
20260827,012450,1111000.0,1159000.0,1096000.0,1150000.0,139565.0,158095766000.0,한화에어로스페이스
20260826,012450,1102000.0,1102000.0,1055000.0,1087000.0,83239.0,89466235000.0,한화에어로스페이스
20260825,012450,1100000.0,1139000.0,1090000.0,1102000.0,107478.0,119045448000.0,한화에어로스페이스
20260824,012450,1100000.0,1132000.0,1087000.0,1105000.0,88498.0,98171363500.0,한화에어로스페이스
20260821,012450,1145000.0,1145000.0,1077000.0,1085000.0,193892.0,211804556000.0,한화에어로스페이스
20260820,012450,1190000.0,1213000.0,1136000.0,1167000.0,251401.0,295896437000.0,한화에어로스페이스
20260819,012450,1255000.0,1255000.0,1150000.0,1177000.0,407773.0,486796558500.0,한화에어로스페이스
20260818,012450,1124000.0,1167000.0,1121000.0,1146000.0,207676.0,238232438500.0,한화에어로스페이스
20260814,012450,1163000.0,1178000.0,1130000.0,1160000.0,172790.0,198972929500.0,한화에어로스페이스
20260813,012450,1167000.0,1213000.0,1164000.0,1185000.0,259007.0,306657375500.0,한화에어로스페이스
20260812,012450,1116000.0,1191000.0,1083000.0,1156000.0,300729.0,348916062500.0,한화에어로스페이스
20260811,012450,1173000.0,1174000.0,1069000.0,1098000.0,158144.0,174114586000.0,한화에어로스페이스
20260810,012450,1118000.0,1169000.0,1112000.0,1152000.0,237101.0,274044629688.0,한화에어로스페이스
20260807,012450,1044000.0,1100000.0,1042000.0,1097000.0,162033.0,174910949000.0,한화에어로스페이스
20260806,012450,1007000.0,1073000.0,1007000.0,1054000.0,271003.0,284557038657.0,한화에어로스페이스
20260805,012450,1006000.0,1031000.0,998000.0,1007000.0,92287.0,93062889000.0,한화에어로스페이스
20260804,012450,919000.0,1014000.0,905000.0,1004000.0,292632.0,290098928936.0,한화에어로스페이스
20260803,012450,925000.0,936000.0,906000.0,919000.0,177064.0,162667546020.0,한화에어로스페이스
20260731,012450,890000.0,943000.0,866000.0,917000.0,259060.0,235473402500.0,한화에어로스페이스
20260730,012450,809000.0,918000.0,809000.0,865000.0,253854.0,222998309000.0,한화에어로스페이스
20260729,012450,862000.0,878000.0,783000.0,810000.0,292413.0,241052733500.0,한화에어로스페이스
20260907,055550,114300.0,114400.0,111400.0,113000.0,46065.0,5218432350.0,신한지주
20260904,055550,113600.0,114600.0,109800.0,110300.0,1115969.0,124404868750.0,신한지주
20260903,055550,113000.0,115900.0,110600.0,114500.0,1489724.0,170330989200.0,신한지주
20260902,055550,110500.0,113900.0,110000.0,110500.0,1563468.0,174616172000.0,신한지주
20260901,055550,108000.0,112000.0,108000.0,111100.0,1856782.0,206242063150.0,신한지주
20260831,055550,110000.0,110700.0,108000.0,108900.0,1838687.0,200849856250.0,신한지주
20260828,055550,107800.0,110000.0,107300.0,109700.0,728791.0,79521960950.0,신한지주
20260827,055550,109900.0,110500.0,107400.0,108800.0,952292.0,103396192054.0,신한지주
20260826,055550,106200.0,108700.0,105200.0,107400.0,792291.0,84884140250.0,신한지주
20260825,055550,104100.0,107800.0,102800.0,106500.0,904902.0,96288912550.0,신한지주
20260824,055550,104100.0,104200.0,101800.0,103300.0,710450.0,73261605350.0,신한지주
20260821,055550,102000.0,104700.0,101000.0,104100.0,1345887.0,139272048950.0,신한지주
20260820,055550,104400.0,105200.0,101100.0,101100.0,1252468.0,128184260924.0,신한지주
20260819,055550,105000.0,105500.0,102100.0,105000.0,1122893.0,117085319750.0,신한지주
20260818,055550,106400.0,106700.0,104500.0,106500.0,849436.0,89908202650.0,신한지주
20260814,055550,106000.0,108000.0,105200.0,107400.0,692324.0,74129271450.0,신한지주
20260813,055550,105300.0,108300.0,104600.0,106600.0,1362582.0,144879024985.0,신한지주
20260812,055550,105500.0,107900.0,103700.0,103800.0,1209125.0,127077225750.0,신한지주
20260811,055550,106600.0,106700.0,104300.0,104500.0,858508.0,90452312700.0,신한지주
20260810,055550,108200.0,108900.0,104100.0,106400.0,1143341.0,120830484800.0,신한지주
20260807,055550,107600.0,110300.0,105600.0,110000.0,1389243.0,151557425450.0,신한지주
20260806,055550,107900.0,107900.0,104700.0,107400.0,1006945.0,107464253400.0,신한지주
20260805,055550,102700.0,106700.0,102600.0,103600.0,850493.0,88635731850.0,신한지주
20260804,055550,100800.0,102900.0,100300.0,102300.0,763199.0,77498179950.0,신한지주
20260803,055550,99700.0,103200.0,99000.0,102700.0,991006.0,100656431100.0,신한지주
20260731,055550,100900.0,101800.0,97500.0,100700.0,1722435.0,172673890150.0,신한지주
20260730,055550,98300.0,104800.0,96700.0,100800.0,1471543.0,148949194950.0,신한지주
20260729,055550,100300.0,103600.0,95700.0,98300.0,1382227.0,137125526150.0,신한지주
20260907,034020,80200.0,80300.0,79000.0,79400.0,129868.0,10328648700.0,두산에너빌리티
20260904,034020,80500.0,80800.0,78600.0,79200.0,1477682.0,117317996250.0,두산에너빌리티
20260903,034020,77900.0,81400.0,75400.0,79200.0,3211239.0,253882040550.0,두산에너빌리티
20260902,034020,78800.0,79600.0,76600.0,76600.0,1902865.0,147889512550.0,두산에너빌리티
20260901,034020,82600.0,83100.0,80100.0,81400.0,1522827.0,123638000600.0,두산에너빌리티
20260831,034020,86400.0,86400.0,81700.0,82500.0,3507575.0,291288137600.0,두산에너빌리티
20260828,034020,85200.0,89100.0,84500.0,88200.0,3536511.0,308574235350.0,두산에너빌리티
20260827,034020,84000.0,87700.0,83400.0,85900.0,3748823.0,322361514400.0,두산에너빌리티
20260826,034020,82900.0,86700.0,81100.0,85800.0,6424721.0,544173070800.0,두산에너빌리티
20260825,034020,74700.0,81600.0,72600.0,80700.0,5507764.0,427243728450.0,두산에너빌리티
20260824,034020,73400.0,73500.0,71800.0,73000.0,1314814.0,95430882000.0,두산에너빌리티
20260821,034020,77900.0,77900.0,72500.0,73300.0,2467372.0,182955015700.0,두산에너빌리티
20260820,034020,76800.0,77300.0,75700.0,75900.0,1377164.0,105013360400.0,두산에너빌리티
20260819,034020,73600.0,76900.0,72600.0,76200.0,1818090.0,136556525550.0,두산에너빌리티
20260818,034020,82300.0,83000.0,76800.0,77900.0,2281893.0,182321501550.0,두산에너빌리티
20260814,034020,84100.0,85700.0,81000.0,82600.0,2119063.0,174686604500.0,두산에너빌리티
20260813,034020,82100.0,83300.0,80600.0,80900.0,2271931.0,185015205000.0,두산에너빌리티
20260812,034020,79200.0,81500.0,78000.0,80300.0,2082680.0,166757393100.0,두산에너빌리티
20260811,034020,79000.0,79100.0,77300.0,77900.0,1423064.0,111110883250.0,두산에너빌리티
20260810,034020,79500.0,80000.0,77600.0,79900.0,1894842.0,149385022650.0,두산에너빌리티
20260807,034020,77100.0,78400.0,74000.0,77100.0,1606838.0,122262898950.0,두산에너빌리티
20260806,034020,75800.0,78800.0,74300.0,76400.0,1963326.0,149884511300.0,두산에너빌리티
20260805,034020,75400.0,77300.0,73500.0,77000.0,2227898.0,169199549750.0,두산에너빌리티
