ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-08-03 10:33:24,sim1,950160,코오롱티슈진,skip,price_moved,14920.0,14.77,33716275730.0,52.2,0.0,120.0,77.0,1.56,1.0,120.00,361,3.01,0.0399,-0.279,-0.289,0.313,-0.255,0.200,0.0,2.067,0.323,2.249,0.057,0.106,0,3,2.034
2026-08-03 10:33:24,sim1,058610,에스피지,skip,price_moved,107800.0,13.95,142938351000.0,45.0,0.0,106.0,75.0,1.41,1.0,106.00,217,2.05,0.0352,-0.291,-0.348,-0.388,-1.028,0.033,0.0,-0.644,0.000,0.000,0.000,0.000,1,3,-0.486
2026-08-03 10:33:24,sim1,009150,삼성전기,skip,price_moved,1200000.0,5.08,800534250000.0,25.8,0.0,254.0,170.0,1.49,1.0,254.00,855,3.37,0.0844,0.275,0.279,0.574,1.129,0.200,0.0,2.067,0.000,0.000,0.018,0.000,1,3,0.562
2026-08-03 10:33:24,sim1,024060,흥구석유,skip,price_moved,9840.0,-11.67,11010885105.0,7.0,0.0,140.0,83.0,1.69,1.0,140.00,316,2.26,0.0465,-0.244,-0.204,-0.235,-0.683,0.067,0.0,-0.102,0.000,0.000,0.006,0.000,1,3,-0.361
2026-08-03 10:33:24,sim1,079650,서산,skip,weak_ignition,4325.0,1.76,5815607225.0,20.1,0.0,52.0,22.0,2.36,1.0,52.00,129,2.48,0.0173,-0.607,-0.577,-0.072,-1.256,0.033,0.0,-0.644,0.071,0.474,-0.009,0.028,0,3,0.243
2026-08-03 10:43:33,sim1,005930,삼성전자,skip,price_moved,242500.0,-7.62,3113504989500.0,8.3,0.0,792.0,550.0,1.44,1.0,792.00,1876,2.37,0.2530,2.667,2.635,-0.195,5.107,0.000,0.0,-1.416,0.409,-2.170,0.091,0.048,0,3,2.650
2026-08-03 10:43:33,sim1,006340,대원전선,skip,weak_ignition,13170.0,1.31,66701798950.0,15.5,0.0,63.0,29.0,2.17,1.0,63.00,122,1.94,0.0201,-0.564,-0.525,-0.530,-1.620,0.033,0.0,-0.856,0.019,-2.078,0.001,-0.137,0,3,-1.308
2026-08-03 10:43:33,sim1,047040,대우건설,skip,price_moved,13340.0,4.38,52464811840.0,43.2,0.0,89.0,64.0,1.39,1.0,89.00,249,2.80,0.0284,-0.347,-0.412,0.137,-0.623,0.133,0.0,0.823,-0.068,0.537,0.022,0.141,0,3,0.414
2026-08-03 10:43:33,sim1,073240,금호타이어,skip,price_moved,6730.0,-7.68,24952106150.0,50.2,0.0,230.0,111.0,2.07,1.0,230.00,888,3.86,0.0735,-0.056,0.199,0.961,1.104,0.033,0.0,-0.856,-1.555,-1.142,0.033,-0.524,0,3,-2.028
2026-08-03 10:43:33,sim1,002990,금호건설,skip,no_trend,8930.0,-1.98,25907192085.0,7.2,0.0,88.0,52.0,1.69,1.0,88.00,206,2.34,0.0281,-0.422,-0.417,-0.217,-1.055,0.033,0.0,-0.856,-0.763,-0.207,0.037,-0.463,0,3,-1.287
2026-08-03 10:43:33,sim1,018880,한온시스템,skip,weak_ignition,3272.0,-1.00,8632958554.0,50.0,0.0,44.0,23.0,1.91,1.0,44.00,77,1.75,0.0141,-0.602,-0.607,-0.675,-1.884,0.067,0.0,-0.296,0.000,0.821,-0.000,-0.143,0,3,0.001
2026-08-03 10:43:33,sim1,475150,SK이터닉스,skip,price_moved,46950.0,3.30,118425866825.0,61.5,0.0,103.0,62.0,1.66,1.0,103.00,255,2.48,0.0329,-0.360,-0.352,-0.112,-0.824,0.033,0.0,-0.856,-1.129,-2.545,0.027,-0.651,0,3,-2.909
2026-08-03 10:43:33,sim1,000660,SK하이닉스,skip,price_moved,1588000.0,-7.57,4059227451500.0,11.0,0.0,796.0,550.0,1.45,1.0,796.00,1111,1.40,0.2543,2.667,2.653,-0.949,4.371,0.067,0.0,-0.296,0.445,-1.518,0.079,-0.116,0,3,2.654
2026-08-03 10:43:33,sim1,010170,대한광통신,skip,price_moved,9530.0,11.72,96850256535.0,30.6,0.0,83.0,56.0,1.48,1.0,83.00,582,7.01,0.0265,-0.397,-0.438,3.402,2.566,0.133,0.0,0.823,0.305,0.070,0.032,0.177,0,3,2.342
2026-08-03 10:43:33,sim1,044340,위닉스,skip,price_moved,5930.0,22.90,33796057490.0,37.7,0.0,44.0,30.0,1.47,1.0,44.00,65,1.48,0.0141,-0.558,-0.607,-0.886,-2.052,0.067,0.0,-0.296,0.000,0.000,0.013,0.000,1,3,-1.001
2026-08-03 10:43:33,sim1,037070,파세코,skip,price_moved,7560.0,14.37,36639163445.0,28.0,0.0,45.0,34.0,1.32,1.0,45.00,59,1.31,0.0144,-0.533,-0.603,-1.015,-2.151,0.100,0.0,0.263,0.000,0.000,0.014,0.000,1,3,-1.041
2026-08-03 10:43:33,sim1,030530,원익홀딩스,skip,price_moved,19800.0,29.58,55445468940.0,30.9,0.0,48.0,36.0,1.33,1.0,48.00,110,2.29,0.0153,-0.521,-0.590,-0.255,-1.366,0.167,0.0,1.383,0.000,0.000,0.000,0.000,1,3,-0.648
2026-08-03 10:43:33,sim1,950160,코오롱티슈진,skip,price_moved,15520.0,19.38,39749389490.0,52.2,0.0,131.0,86.0,1.52,1.0,131.00,417,3.18,0.0419,-0.211,-0.230,0.436,-0.006,0.200,0.0,1.943,0.382,2.125,0.069,0.174,0,3,2.191
2026-08-03 10:43:33,sim1,058610,에스피지,skip,price_moved,112100.0,18.50,161861409450.0,45.0,0.0,118.0,80.0,1.48,1.0,118.00,234,1.98,0.0377,-0.248,-0.287,-0.494,-1.029,0.067,0.0,-0.296,0.000,0.000,0.043,0.000,1,3,-0.495
2026-08-03 10:43:33,sim1,009150,삼성전기,skip,price_moved,1195000.0,4.64,840175162000.0,25.8,0.0,259.0,172.0,1.51,1.0,259.00,882,3.41,0.0827,0.323,0.325,0.608,1.255,0.200,0.0,1.943,0.000,0.000,0.048,0.000,1,3,0.626
2026-08-03 10:43:33,sim1,024060,흥구석유,skip,price_moved,9900.0,-11.13,11253372605.0,7.0,0.0,144.0,84.0,1.71,1.0,144.00,329,2.28,0.0460,-0.223,-0.174,-0.260,-0.658,0.067,0.0,-0.296,0.000,0.000,0.020,0.000,1,3,-0.353
2026-08-03 10:43:33,sim1,079650,서산,skip,weak_ignition,4335.0,2.00,6008454765.0,20.1,0.0,53.0,21.0,2.52,1.0,53.00,142,2.68,0.0169,-0.614,-0.568,0.045,-1.137,0.033,0.0,-0.856,0.080,0.261,-0.007,0.021,0,3,0.193
2026-08-03 10:53:36,sim1,005930,삼성전자,skip,price_moved,241000.0,-8.19,3215556604750.0,8.3,0.0,793.0,550.0,1.44,1.0,793.00,2045,2.58,0.2466,2.679,2.635,-0.027,5.287,0.000,0.0,-1.376,0.409,-2.130,0.012,0.060,0,3,2.801
2026-08-03 10:53:36,sim1,006340,대원전선,skip,weak_ignition,13180.0,1.38,68528864260.0,15.5,0.0,66.0,30.0,2.20,1.0,66.00,126,1.91,0.0205,-0.579,-0.538,-0.557,-1.674,0.033,0.0,-0.845,0.006,-2.066,-0.015,-0.152,0,3,-1.326
2026-08-03 10:53:36,sim1,047040,대우건설,skip,price_moved,13310.0,4.15,53458508995.0,43.2,0.0,90.0,65.0,1.38,1.0,90.00,253,2.81,0.0280,-0.360,-0.433,0.157,-0.636,0.133,0.0,0.751,-0.089,0.465,-0.013,0.129,0,3,0.438
2026-08-03 10:53:36,sim1,073240,금호타이어,skip,price_moved,6680.0,-8.37,25964880955.0,50.2,0.0,252.0,119.0,2.12,1.0,252.00,919,3.65,0.0784,-0.022,0.274,0.818,1.070,0.033,0.0,-0.845,-1.480,-1.130,0.034,-0.490,0,3,-1.939
2026-08-03 10:53:36,sim1,002990,금호건설,skip,no_trend,8900.0,-2.31,26484646410.0,7.2,0.0,93.0,55.0,1.69,1.0,93.00,216,2.32,0.0289,-0.423,-0.420,-0.230,-1.072,0.033,0.0,-0.845,-0.766,-0.195,-0.001,-0.464,0,3,-1.239
