timestamp,symbol,action,price,quantity,total_amount,reason
2026-04-13 01:33:26,빛과전자(069540),SELL,5120,58,296960,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 01:33:26,퍼스텍(010820),SELL,11650,26,302900,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 01:33:26,캡스톤파트너스(452300),SELL,4955,60,297300,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 01:33:26,머큐리(100590),SELL,10970,30,329100,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 01:33:26,다날(064260),SELL,8060,36,290160,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 01:33:26,흥아해운(003280),BUY,3425,87,297975,하락전망
2026-04-13 01:33:26,남선알미늄(008350),BUY,2715,110,298650,알미늄강세
2026-04-13 01:33:26,대한해운(005880),BUY,2925,102,298350,개미매수
2026-04-13 01:33:26,조일알미늄(018470),BUY,1775,169,299975,호르무즈해협
2026-04-13 01:33:26,한국ANKOR유전(152550),BUY,241,1244,299804,중동전쟁
2026-04-13 01:33:26,신성이엔지(011930),BUY,3805,78,296790,신재생기대감
2026-04-13 01:33:26,대우건설(047040),BUY,24750,12,297000,대마불사기대
2026-04-13 01:33:26,퍼스텍(010820),BUY,11650,25,291250,외인매도우려
2026-04-13 01:33:26,케이뱅크(279570),BUY,6440,46,296240,수익성기대
2026-04-13 01:33:26,삼성전자(005930),BUY,202500,1,202500,노조갈등심화
2026-04-13 02:02:52,에이스테크(088800),SELL,5500,54,297000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,대한해운(005880),SELL,2920,100,292000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,대한광통신(010170),SELL,19310,16,308960,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,쏠리드(050890),SELL,17080,16,273280,[보수] 하드 스탑 (-3% 도달: -3.7%)
2026-04-13 02:02:52,신성이엔지(011930),SELL,3755,77,289135,[보수] 타임 컷 (보유 3일 경과)
