timestamp,event,model,prompt_tokens,output_tokens,total_tokens,req_stocks,resp_stocks,req_posts,req_chars,body_ok,body_fail,cache_hit,cache_miss,posts_dropped,noise_only_stocks
2026-07-28 16:18:57,batch_call,gemini-2.5-flash-lite,1308,672,1980,10,10,50,2373,,,,,,
2026-07-28 16:18:59,batch_call,gemini-2.5-flash-lite,1028,380,1408,7,7,35,1896,,,,,,
2026-07-29 09:02:19,run_summary,,,,,,,,,0,20,,,,
2026-07-29 09:02:21,cache_summary,,,,,,,,,,,0,4,4,0
2026-07-29 09:02:23,batch_call,gemini-2.5-flash-lite,2126,334,2460,4,4,116,3563,,,,,,
2026-07-29 09:02:32,batch_call,gemini-2.5-flash-lite,232,65,297,,,,502,,,,,,
2026-07-29 09:05:39,batch_call,gemini-2.5-flash,438,231,1923,,,,694,,,,,,
2026-07-29 09:05:45,batch_call,gemini-2.5-flash,450,203,1430,,,,704,,,,,,
2026-07-29 09:12:19,run_summary,,,,,,,,,0,30,,,,
2026-07-29 09:12:21,cache_summary,,,,,,,,,,,0,6,14,0
2026-07-29 09:12:25,batch_call,gemini-2.5-flash-lite,2877,632,3509,6,6,166,4652,,,,,,
2026-07-29 09:22:27,run_summary,,,,,,,,,0,40,,,,
2026-07-29 09:22:29,cache_summary,,,,,,,,,,,0,8,20,0
2026-07-29 09:22:32,batch_call,gemini-2.5-flash-lite,3398,683,4081,8,8,220,5383,,,,,,
2026-07-29 09:32:23,run_summary,,,,,,,,,0,45,,,,
2026-07-29 09:32:25,cache_summary,,,,,,,,,,,0,9,20,0
2026-07-29 09:32:29,batch_call,gemini-2.5-flash-lite,3788,828,4616,9,9,250,5957,,,,,,
2026-07-29 09:42:45,run_summary,,,,,,,,,0,60,,,,
2026-07-29 09:42:47,cache_summary,,,,,,,,,,,2,10,19,0
2026-07-29 09:42:50,batch_call,gemini-2.5-flash-lite,4095,834,4929,10,10,281,6424,,,,,,
2026-07-29 09:52:54,run_summary,,,,,,,,,0,65,,,,
2026-07-29 09:52:56,cache_summary,,,,,,,,,,,2,11,19,0
2026-07-29 09:53:00,batch_call,gemini-2.5-flash-lite,4066,991,5057,10,10,282,6469,,,,,,
2026-07-29 09:53:00,batch_call,gemini-2.5-flash-lite,854,93,947,1,1,29,1691,,,,,,
2026-07-29 10:02:49,run_summary,,,,,,,,,0,75,,,,
2026-07-29 10:02:51,cache_summary,,,,,,,,,,,1,14,29,0
2026-07-29 10:02:56,batch_call,gemini-2.5-flash-lite,4033,949,4982,10,10,276,6382,,,,,,
2026-07-29 10:02:57,batch_call,gemini-2.5-flash-lite,1836,306,2142,4,4,115,3117,,,,,,
2026-07-29 10:03:16,batch_call,gemini-2.5-flash-lite,233,80,313,,,,500,,,,,,
2026-07-29 10:06:55,batch_call,gemini-2.5-flash,436,236,2072,,,,689,,,,,,
2026-07-29 10:07:05,batch_call,gemini-2.5-flash,446,253,2275,,,,704,,,,,,
2026-07-29 10:13:12,run_summary,,,,,,,,,0,85,,,,
2026-07-29 10:13:14,cache_summary,,,,,,,,,,,0,17,33,0
2026-07-29 10:13:17,batch_call,gemini-2.5-flash-lite,4252,882,5134,10,10,283,6708,,,,,,
2026-07-29 10:13:20,batch_call,gemini-2.5-flash-lite,2872,672,3544,7,7,194,4618,,,,,,
2026-07-29 10:23:14,run_summary,,,,,,,,,0,90,,,,
2026-07-29 10:23:16,cache_summary,,,,,,,,,,,3,15,38,0
2026-07-29 10:23:20,batch_call,gemini-2.5-flash-lite,4168,911,5079,10,10,277,6498,,,,,,
2026-07-29 10:23:22,batch_call,gemini-2.5-flash-lite,2244,534,2778,5,5,135,3724,,,,,,
2026-07-29 10:32:51,run_summary,,,,,,,,,0,95,,,,
2026-07-29 10:32:53,cache_summary,,,,,,,,,,,4,15,34,0
2026-07-29 10:32:56,batch_call,gemini-2.5-flash-lite,4114,959,5073,10,10,284,6420,,,,,,
2026-07-29 10:32:58,batch_call,gemini-2.5-flash-lite,2217,405,2622,5,5,132,3661,,,,,,
2026-07-29 10:43:24,run_summary,,,,,,,,,0,110,,,,
2026-07-29 10:43:26,cache_summary,,,,,,,,,,,2,20,42,0
2026-07-29 10:43:31,batch_call,gemini-2.5-flash-lite,3983,967,4950,10,10,284,6296,,,,,,
2026-07-29 10:43:35,batch_call,gemini-2.5-flash-lite,3860,963,4823,10,10,274,6022,,,,,,
2026-07-29 10:53:32,run_summary,,,,,,,,,0,110,,,,
2026-07-29 10:53:34,cache_summary,,,,,,,,,,,3,19,43,0
2026-07-29 10:53:38,batch_call,gemini-2.5-flash-lite,4077,921,4998,10,10,277,6423,,,,,,
2026-07-29 10:53:44,batch_call,gemini-2.5-flash-lite,3505,963,4468,9,9,250,5497,,,,,,
2026-07-29 11:03:20,run_summary,,,,,,,,,0,55,,,,
2026-07-29 11:03:22,cache_summary,,,,,,,,,,,1,10,16,0
2026-07-29 11:03:25,batch_call,gemini-2.5-flash-lite,4072,713,4785,10,10,284,6413,,,,,,
2026-07-29 11:03:42,batch_call,gemini-2.5-flash-lite,235,71,306,,,,504,,,,,,
2026-07-29 11:07:50,batch_call,gemini-2.5-flash,412,226,2884,,,,645,,,,,,
2026-07-29 11:07:58,batch_call,gemini-2.5-flash,392,229,1694,,,,669,,,,,,
2026-07-29 11:13:16,run_summary,,,,,,,,,0,65,,,,
2026-07-29 11:13:18,cache_summary,,,,,,,,,,,3,10,13,0
2026-07-29 11:13:21,batch_call,gemini-2.5-flash-lite,4038,702,4740,10,10,287,6342,,,,,,
2026-07-29 11:23:22,run_summary,,,,,,,,,0,70,,,,
2026-07-29 11:23:24,cache_summary,,,,,,,,,,,4,10,13,0
2026-07-29 11:23:28,batch_call,gemini-2.5-flash-lite,4043,910,4953,10,10,287,6437,,,,,,
2026-07-29 11:32:59,run_summary,,,,,,,,,0,75,,,,
2026-07-29 11:33:01,cache_summary,,,,,,,,,,,4,11,14,0
2026-07-29 11:33:05,batch_call,gemini-2.5-flash-lite,4243,905,5148,10,10,287,6661,,,,,,
2026-07-29 11:33:06,batch_call,gemini-2.5-flash-lite,858,105,963,1,1,29,1713,,,,,,
2026-07-29 11:43:24,run_summary,,,,,,,,,0,75,,,,
2026-07-29 11:43:26,cache_summary,,,,,,,,,,,2,13,15,0
2026-07-29 11:43:30,batch_call,gemini-2.5-flash-lite,4262,874,5136,10,10,288,6714,,,,,,
2026-07-29 11:43:32,batch_call,gemini-2.5-flash-lite,1626,315,1941,3,3,87,2823,,,,,,
2026-07-29 11:53:10,run_summary,,,,,,,,,0,85,,,,
2026-07-29 11:53:12,cache_summary,,,,,,,,,,,4,13,23,0
2026-07-29 11:53:16,batch_call,gemini-2.5-flash-lite,4151,844,4995,10,10,285,6543,,,,,,
2026-07-29 11:53:17,batch_call,gemini-2.5-flash-lite,1626,296,1922,3,3,82,2814,,,,,,
2026-07-29 12:03:21,run_summary,,,,,,,,,0,95,,,,
2026-07-29 12:03:23,cache_summary,,,,,,,,,,,5,14,25,0
2026-07-29 12:03:26,batch_call,gemini-2.5-flash-lite,4200,841,5041,10,10,281,6577,,,,,,
2026-07-29 12:03:28,batch_call,gemini-2.5-flash-lite,1977,382,2359,4,4,114,3371,,,,,,
2026-07-29 12:03:46,batch_call,gemini-2.5-flash-lite,237,69,308,,,,506,,,,,,
2026-07-29 12:06:54,batch_call,gemini-2.5-flash,422,244,2013,,,,650,,,,,,
2026-07-29 12:07:14,batch_call,gemini-2.5-flash,403,358,4106,,,,653,,,,,,
