date,code,close,prsn_net,frgn_net,orgn_net,prsn_buy,frgn_buy,orgn_buy,prsn_sell,frgn_sell,orgn_sell
20260720,056190,19770.0,21269.0,-22684.0,1330.0,39448.0,34780.0,14798.0,18179.0,57464.0,13468.0
20260720,058470,69100.0,-6181.0,111948.0,-103522.0,85446.0,363659.0,73604.0,91627.0,251711.0,177126.0
20260720,058610,62600.0,-6511.0,7644.0,-1133.0,25604.0,39273.0,4787.0,32115.0,31629.0,5920.0
20260720,059090,14150.0,-25660.0,26783.0,-611.0,70207.0,139120.0,2674.0,95867.0,112337.0,3285.0
20260720,060250,11570.0,-8736.0,8495.0,-343.0,98136.0,121307.0,6984.0,106872.0,112812.0,7327.0
20260720,060370,26300.0,-2514.0,-18363.0,21465.0,39614.0,40171.0,33202.0,42128.0,58534.0,11737.0
20260720,062040,160100.0,-6564.0,17579.0,-10961.0,32405.0,101915.0,17863.0,38969.0,84336.0,28824.0
20260720,064290,36300.0,-13810.0,45672.0,-31148.0,62904.0,118922.0,46952.0,76714.0,73250.0,78100.0
20260720,064350,147200.0,49629.0,53756.0,-102155.0,120621.0,450342.0,135654.0,70992.0,396586.0,237809.0
20260720,064400,61800.0,-53417.0,26044.0,22871.0,489103.0,218099.0,70606.0,542520.0,192055.0,47735.0
20260720,064760,208000.0,-8178.0,-9063.0,18486.0,4851.0,35536.0,38201.0,13029.0,44599.0,19715.0
20260720,065350,25600.0,-9352.0,16998.0,-7685.0,49913.0,54096.0,3864.0,59265.0,37098.0,11549.0
20260720,066570,167200.0,-48260.0,-3555.0,53299.0,349400.0,463884.0,393535.0,397660.0,467439.0,340236.0
20260720,066970,83600.0,28594.0,4330.0,-32733.0,112559.0,117284.0,93116.0,83965.0,112954.0,125849.0
20260720,067160,45200.0,3845.0,-4237.0,248.0,8831.0,28486.0,7508.0,4986.0,32723.0,7260.0
20260720,067310,36650.0,-32728.0,-48139.0,79878.0,1803414.0,986274.0,184445.0,1836142.0,1034413.0,104567.0
20260720,068270,172600.0,19233.0,-44097.0,30020.0,165359.0,172306.0,134209.0,146126.0,216403.0,104189.0
20260720,068760,38250.0,9659.0,-16632.0,7117.0,30171.0,18215.0,17669.0,20512.0,34847.0,10552.0
20260720,069500,103885.0,257643.0,1120123.0,-1393131.0,3293652.0,11131875.0,6917703.0,3036009.0,10011752.0,8310834.0
20260720,071050,216500.0,25017.0,5167.0,-36832.0,51135.0,86272.0,43923.0,26118.0,81105.0,80755.0
20260720,074600,27600.0,17828.0,-20884.0,2121.0,51353.0,60773.0,83870.0,33525.0,81657.0,81749.0
20260720,077360,8650.0,105936.0,-87350.0,-18329.0,209141.0,174664.0,42021.0,103205.0,262014.0,60350.0
20260720,078340,24500.0,-1424.0,-749.0,2153.0,5208.0,8868.0,9333.0,6632.0,9617.0,7180.0
20260720,078600,71600.0,13374.0,19553.0,-32252.0,38148.0,55787.0,6416.0,24774.0,36234.0,38668.0
20260720,078930,83200.0,-77468.0,-76717.0,151792.0,111281.0,218406.0,296789.0,188749.0,295123.0,144997.0
20260720,079550,695000.0,6259.0,-5090.0,-1391.0,23544.0,76214.0,39694.0,17285.0,81304.0,41085.0
20260720,079940,44050.0,100.0,-3.0,-97.0,9300.0,0.0,918.0,9200.0,3.0,1015.0
20260720,080220,78000.0,47591.0,-51281.0,-12026.0,652501.0,346160.0,55095.0,604910.0,397441.0,67121.0
20260720,080580,12750.0,15125.0,-11435.0,-3690.0,71240.0,50962.0,595.0,56115.0,62397.0,4285.0
20260720,082270,10130.0,4942.0,4042.0,-4483.0,60214.0,68674.0,7445.0,55272.0,64632.0,11928.0
20260720,082740,42400.0,172749.0,-281806.0,77473.0,304155.0,159627.0,141737.0,131406.0,441433.0,64264.0
20260720,082920,26350.0,19525.0,-31888.0,14310.0,63843.0,117576.0,40266.0,44318.0,149464.0,25956.0
20260720,083450,43200.0,-54794.0,40874.0,14475.0,32079.0,108149.0,15651.0,86873.0,67275.0,1176.0
20260720,083650,40350.0,-55366.0,61910.0,-6647.0,30109.0,125439.0,6785.0,85475.0,63529.0,13432.0
20260720,084370,127900.0,7568.0,36892.0,-44488.0,31937.0,143730.0,31670.0,24369.0,106838.0,76158.0
20260720,085620,15700.0,-3149.0,-27191.0,30191.0,65833.0,50644.0,30970.0,68982.0,77835.0,779.0
20260720,085660,8720.0,27206.0,-17219.0,-11043.0,108530.0,96482.0,20014.0,81324.0,113701.0,31057.0
20260720,086280,186500.0,-15825.0,15111.0,2482.0,17310.0,124816.0,59997.0,33135.0,109705.0,57515.0
20260720,086450,18350.0,12622.0,-58934.0,40567.0,92433.0,67793.0,56544.0,79811.0,126727.0,15977.0
20260720,086520,73500.0,137587.0,-41412.0,-94916.0,399493.0,197959.0,148760.0,261906.0,239371.0,243676.0
20260720,086790,133400.0,-132211.0,165884.0,-28297.0,84281.0,904642.0,242386.0,216492.0,738758.0,270683.0
20260720,086900,68500.0,2823.0,2851.0,-5785.0,6105.0,9470.0,2196.0,3282.0,6619.0,7981.0
20260720,087010,108500.0,-8035.0,16468.0,-8484.0,62781.0,72214.0,14328.0,70816.0,55746.0,22812.0
20260720,088350,4315.0,345485.0,-492799.0,146476.0,1116956.0,613891.0,368847.0,771471.0,1106690.0,222371.0
20260720,088980,10040.0,296951.0,-316659.0,9797.0,645508.0,394682.0,103158.0,348557.0,711341.0,93361.0
20260720,089030,48550.0,-1906.0,-26252.0,28076.0,712267.0,685898.0,101075.0,714173.0,712150.0,72999.0
20260720,089970,93000.0,128999.0,14817.0,-139333.0,290725.0,223011.0,146582.0,161726.0,208194.0,285915.0
20260720,090360,56300.0,-2729.0,5172.0,-2456.0,27411.0,27552.0,2533.0,30140.0,22380.0,4989.0
20260720,090430,117300.0,3603.0,3951.0,-8133.0,25249.0,125066.0,22683.0,21646.0,121115.0,30816.0
20260720,090710,6040.0,-156588.0,174303.0,-18080.0,479403.0,500855.0,22873.0,635991.0,326552.0,40953.0
20260720,091160,124505.0,-4402.0,-39292.0,59902.0,242307.0,881227.0,829790.0,246709.0,920519.0,769888.0
20260720,092190,5590.0,64419.0,-64421.0,2.0,99126.0,39086.0,2.0,34707.0,103507.0,0.0
20260720,093320,130600.0,5532.0,-5317.0,-50.0,8514.0,6128.0,1836.0,2982.0,11445.0,1886.0
20260720,094170,28750.0,13682.0,-13720.0,-59.0,46743.0,27761.0,21.0,33061.0,41481.0,80.0
20260720,095340,135600.0,-22889.0,112966.0,-87347.0,21418.0,196108.0,33432.0,44307.0,83142.0,120779.0
