date,code,hhmm,price,volume
20260904,000220,1425,4060,48075
20260904,000220,1426,4050,22228
20260904,000220,1427,4065,9689
20260904,000220,1428,4070,14495
20260904,000220,1429,4095,22706
20260904,000220,1430,4110,14942
20260904,000220,1431,4100,29093
20260904,000220,1432,4080,20667
20260904,000220,1433,4070,7947
20260904,000220,1434,4065,35540
20260904,000220,1435,4080,4300
20260904,000220,1436,4075,15770
20260904,000220,1437,4090,5059
20260904,000220,1438,4095,11121
20260904,000220,1439,4075,14598
20260904,000220,1440,3920,108718
20260904,000220,1441,3920,0
20260904,000220,1442,3940,18089
20260904,000220,1443,3920,44548
20260904,000220,1444,3905,38589
20260904,000220,1445,3920,9558
20260904,000220,1446,3910,13091
20260904,000220,1447,3895,22095
20260904,000220,1448,3910,9496
20260904,000220,1449,3895,8767
20260904,000220,1450,3895,3926
20260904,000220,1451,3905,5856
20260904,000220,1452,3900,7024
20260904,000220,1453,3885,22405
20260904,000220,1454,3875,10295
20260904,000220,1455,3880,6049
20260904,000220,1456,3885,4917
20260904,000220,1457,3870,13088
20260904,000220,1458,3855,19576
20260904,000220,1459,3855,4825
20260904,000220,1500,3880,22765
20260904,000220,1501,3890,8076
20260904,000220,1502,3885,1904
20260904,000220,1503,3875,3734
20260904,000220,1504,3895,2453
20260904,000220,1505,3880,4477
20260904,000220,1506,3870,7082
20260904,000220,1507,3870,13024
20260904,000220,1508,3850,19387
20260904,000220,1509,3865,5254
20260904,000220,1510,3875,10713
20260904,000220,1511,3870,4426
20260904,000220,1512,3855,5443
20260904,000220,1513,3885,5677
20260904,000220,1514,3865,3543
20260904,000220,1515,3875,3305
20260904,000220,1516,3860,3040
20260904,000220,1517,3850,9277
20260904,000220,1518,3870,10774
20260904,000220,1519,3850,18627
20260904,000220,1520,3850,0
20260904,000220,1521,3850,0
20260904,000220,1522,3850,0
20260904,000220,1523,3850,0
20260904,000220,1524,3850,0
20260904,000220,1525,3850,0
20260904,000220,1526,3850,0
20260904,000220,1527,3850,0
20260904,000220,1528,3850,0
20260904,000220,1529,3850,0
20260904,000220,1530,3840,57428
20260904,000225,0901,3615,207
20260904,000225,0902,3615,0
20260904,000225,0903,3645,3
20260904,000225,0904,3645,0
20260904,000225,0905,3645,0
20260904,000225,0906,3645,0
20260904,000225,0907,3645,0
20260904,000225,0908,3645,0
20260904,000225,0909,3645,45
20260904,000225,0910,3645,20
20260904,000225,0911,3690,58
20260904,000225,0912,3690,0
20260904,000225,0913,3690,0
20260904,000225,0914,3690,0
20260904,000225,0915,3690,0
20260904,000225,0916,3690,30
20260904,000225,0917,3690,0
20260904,000225,0918,3690,0
20260904,000225,0919,3690,0
20260904,000225,0920,3690,0
20260904,000225,0921,3690,0
20260904,000225,0922,3690,0
20260904,000225,0923,3690,0
20260904,000225,0924,3690,1
20260904,000225,0925,3690,0
20260904,000225,0926,3690,7
20260904,000225,0927,3690,0
20260904,000225,0928,3690,0
20260904,000225,0929,3690,0
20260904,000225,0930,3690,0
20260904,000225,0931,3640,1
20260904,000225,0932,3680,38
20260904,000225,0933,3635,1
20260904,000225,0934,3635,0
20260904,000225,0935,3635,0
20260904,000225,0936,3635,0
20260904,000225,0937,3670,2
20260904,000225,0938,3670,0
20260904,000225,0939,3670,0
20260904,000225,0940,3670,0
20260904,000225,0941,3670,0
20260904,000225,0942,3670,0
20260904,000225,0943,3670,0
20260904,000225,0944,3670,0
20260904,000225,0945,3670,0
20260904,000225,0946,3655,1
20260904,000225,0947,3665,3
20260904,000225,0948,3635,44
20260904,000225,0949,3635,1
20260904,000225,0950,3635,0
20260904,000225,0951,3635,0
20260904,000225,0952,3660,6
20260904,000225,0953,3660,7
20260904,000225,0954,3660,0
20260904,000225,0955,3660,0
20260904,000225,0956,3640,10
20260904,000225,0957,3640,0
20260904,000225,0958,3640,0
20260904,000225,0959,3655,66
20260904,000225,1000,3655,0
20260904,000225,1001,3635,6
20260904,000225,1002,3630,1
20260904,000225,1003,3635,20
20260904,000225,1004,3635,0
20260904,000225,1005,3630,5
20260904,000225,1006,3630,0
20260904,000225,1007,3630,0
20260904,000225,1008,3630,0
20260904,000225,1009,3630,0
20260904,000225,1010,3630,0
20260904,000225,1011,3630,0
20260904,000225,1012,3630,0
20260904,000225,1013,3630,0
20260904,000225,1014,3630,0
20260904,000225,1015,3630,0
20260904,000225,1016,3630,0
20260904,000225,1017,3630,0
20260904,000225,1018,3630,0
20260904,000225,1019,3645,1
20260904,000225,1020,3645,0
20260904,000225,1021,3645,0
20260904,000225,1022,3645,0
20260904,000225,1023,3635,36
20260904,000225,1024,3635,0
