종목명,현재가,등락률,당일_게시글수,현재_외국인비중,시장구분,어제_종가,어제_외국인비중,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,code
SK이터닉스,59900,+11.55%,800,2.67%,KOSPI,53700.0,3.00%,60층 이상에서 마음고생 중인 주주분들을 위해[4] / 66500원에 신용으로 산거 손절하고 간다[5] / 다음주엔 앞자리7?[1] / 66500에 풀신용 지른 1인입니다[3],Negative (66%),"오늘, 투경, ...",1,"[{'title': '60층 이상에서 마음고생 중인 주주분들을 위해[4]', 'date': '2026.03.20 18:03', 'views': '489', 'likes': '21', 'dislikes': '2', 'link': '/item/board_read.naver?code=475150&nid=415520191&page=3', 'score': 1119}, {'title': 'SK다[1]', 'date': '2026.03.20 18:56', 'views': '144', 'likes': '15', 'dislikes': '6', 'link': '/item/board_read.naver?code=475150&nid=415522858&page=2', 'score': 594}, {'title': '다음주엔 앞자리7?[1]', 'date': '2026.03.20 14:30', 'views': '332', 'likes': '15', 'dislikes': '4', 'link': '/item/board_read.naver?code=475150&nid=415498430&page=14', 'score': 782}, {'title': '[매동] 실시간 매매추이 5차', 'date': '2026.03.20 14:25', 'views': '227', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=475150&nid=415497771&page=14', 'score': 647}, {'title': '물렸으면 지금 넥장에서 판매할거 아니면 그냥...[1]', 'date': '2026.03.20 17:30', 'views': '185', 'likes': '13', 'dislikes': '5', 'link': '/item/board_read.naver?code=475150&nid=415518308&page=5', 'score': 575}, {'title': '상한가ㄱㄱ', 'date': '2026.03.20 16:10', 'views': '64', 'likes': '13', 'dislikes': '3', 'link': '/item/board_read.naver?code=475150&nid=415512777&page=7', 'score': 454}, {'title': '66500에 풀신용 지른 1인입니다[3]', 'date': '2026.03.20 15:01', 'views': '262', 'likes': '13', 'dislikes': '5', 'link': '/item/board_read.naver?code=475150&nid=415503210&page=12', 'score': 652}, {'title': '간단히 얘기한다 시총 20조 넘는다', 'date': '2026.03.20 19:18', 'views': '229', 'likes': '12', 'dislikes': '2', 'link': '/item/board_read.naver?code=475150&nid=415523855&page=2', 'score': 589}, {'title': '차라리', 'date': '2026.03.20 16:10', 'views': '109', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=475150&nid=415512730&page=7', 'score': 469}, {'title': '66500원에 신용으로 산거 손절하고 간다[5]', 'date': '2026.03.20 16:18', 'views': '530', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=475150&nid=415513374&page=7', 'score': 860}]",475150
진흥기업,1150,+10.05%,177,0.76%,KOSPI,1045.0,1.61%,간판부터 바꾸면 안되나? / 화가..많이 나시죠~[1] / 오늘 외국인 120만주 나감 / 이제1파 상승했다[2],Positive (68%),"오늘, 상한가, 진흥",1,"[{'title': '간판부터 바꾸면 안되나?', 'date': '2026.03.20 16:08', 'views': '103', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=002780&nid=415512538&page=1', 'score': 553}, {'title': '오늘 외국인 120만주 나감', 'date': '2026.03.20 14:46', 'views': '94', 'likes': '13', 'dislikes': '5', 'link': '/item/board_read.naver?code=002780&nid=415500919&page=2', 'score': 484}, {'title': '화가..많이 나시죠~[1]', 'date': '2026.03.20 15:10', 'views': '201', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=002780&nid=415504779&page=2', 'score': 501}, {'title': '난진흥이가 효성하고 잘하길 빌어', 'date': '2026.03.20 14:46', 'views': '57', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=002780&nid=415500896&page=2', 'score': 327}, {'title': '27프로[2]', 'date': '2026.03.20 14:36', 'views': '124', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=002780&nid=415499375&page=2', 'score': 394}, {'title': '날마다[5]', 'date': '2026.03.20 12:12', 'views': '71', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=002780&nid=415477539&page=6', 'score': 341}, {'title': '호재가 넘사라 내가봤을땐 삼표처럼 1만 찍는...[3]', 'date': '2026.03.20 13:36', 'views': '127', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=002780&nid=415490049&page=4', 'score': 367}, {'title': '3000 올까요 몇년전 오세훈 출마할때 물렸...', 'date': '2026.03.20 13:20', 'views': '47', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=002780&nid=415487402&page=4', 'score': 287}, {'title': '전력설비', 'date': '2026.03.20 08:03', 'views': '54', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=002780&nid=415430271&page=9', 'score': 294}, {'title': '이제1파 상승했다[2]', 'date': '2026.03.20 16:25', 'views': '221', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=002780&nid=415513930&page=1', 'score': 431}]",002780
한화투자증권,7920,+7.32%,106,6.42%,KOSPI,7380.0,6.45%,오늘 상한가한방~~~~![1] / 다음주 / 내 평단[1] / 쫄거있나? 담주 슈팅 나올듯[1],Positive (87%),"오늘, SK, 종가",1,"[{'title': '오늘 상한가한방~~~~![1]', 'date': '2026.03.20 10:04', 'views': '222', 'likes': '13', 'dislikes': '1', 'link': '/item/board_read.naver?code=003530&nid=415453916&page=5', 'score': 612}, {'title': '다음주', 'date': '2026.03.20 15:07', 'views': '182', 'likes': '12', 'dislikes': '6', 'link': '/item/board_read.naver?code=003530&nid=415504261&page=1', 'score': 542}, {'title': '내 평단[1]', 'date': '2026.03.20 12:12', 'views': '145', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=003530&nid=415477564&page=4', 'score': 385}, {'title': '어이가없네 8000을넘겨버리네[1]', 'date': '2026.03.20 12:10', 'views': '70', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=003530&nid=415477276&page=4', 'score': 310}, {'title': '쫄거있나? 담주 슈팅 나올듯[1]', 'date': '2026.03.20 17:18', 'views': '148', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=003530&nid=415517562&page=1', 'score': 358}, {'title': '담주부터 오를거에용', 'date': '2026.03.20 16:55', 'views': '46', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=003530&nid=415515972&page=1', 'score': 256}, {'title': '2018년 10월 부터 보유[3]', 'date': '2026.03.20 13:15', 'views': '139', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=003530&nid=415486541&page=3', 'score': 319}, {'title': '힘내라힘!!!', 'date': '2026.03.20 10:46', 'views': '26', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=003530&nid=415462376&page=5', 'score': 206}, {'title': '드디어 골든 크로스 !!!', 'date': '2026.03.20 10:17', 'views': '42', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=003530&nid=415456712&page=5', 'score': 222}, {'title': '중소형주로 매수 이동 ~~~', 'date': '2026.03.20 10:02', 'views': '43', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=003530&nid=415453587&page=5', 'score': 223}]",003530
LS머트리얼즈,25300,+6.53%,185,5.40%,KOSDAQ,23750.0,4.80%,3년 맘고생하고  쬐끔 수익 보고 갑니다[1] / 차트 정배열 완성 됬네요[3] / 내년 연말까지 들고가렵니다. 목표가 15만원[2] / 엘머,Mixed,"오늘, 시외, 상한가",1,"[{'title': '3년 맘고생하고  쬐끔 수익 보고 갑니다[1]', 'date': '2026.03.20 13:52', 'views': '261', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=417200&nid=415492503&page=2', 'score': 711}, {'title': '차트 정배열 완성 됬네요[3]', 'date': '2026.03.20 15:55', 'views': '369', 'likes': '10', 'dislikes': '7', 'link': '/item/board_read.naver?code=417200&nid=415511278&page=1', 'score': 669}, {'title': '엘머', 'date': '2026.03.20 15:46', 'views': '125', 'likes': '10', 'dislikes': '5', 'link': '/item/board_read.naver?code=417200&nid=415510182&page=1', 'score': 425}, {'title': '오늘도', 'date': '2026.03.20 15:12', 'views': '74', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=417200&nid=415504977&page=1', 'score': 344}, {'title': '내년 연말까지 들고가렵니다. 목표가 15만원[2]', 'date': '2026.03.20 09:23', 'views': '275', 'likes': '9', 'dislikes': '7', 'link': '/item/board_read.naver?code=417200&nid=415443758&page=7', 'score': 545}, {'title': '뚫자 !! 30,000[1]', 'date': '2026.03.20 12:12', 'views': '89', 'likes': '8', 'dislikes': '2', 'link': '/item/board_read.naver?code=417200&nid=415477559&page=3', 'score': 329}, {'title': '주가 오르니까 정신병원에서 대탈출했냐?[2]', 'date': '2026.03.20 16:59', 'views': '123', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=417200&nid=415516220&page=1', 'score': 333}, {'title': '3만원대만가면', 'date': '2026.03.20 16:40', 'views': '94', 'likes': '7', 'dislikes': '5', 'link': '/item/board_read.naver?code=417200&nid=415514966&page=1', 'score': 304}, {'title': '두시간 기어오르고 10분만에 내려오네 잡스...', 'date': '2026.03.20 13:09', 'views': '45', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=417200&nid=415485662&page=2', 'score': 255}, {'title': '이제[1]', 'date': '2026.03.20 12:08', 'views': '120', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=417200&nid=415476899&page=3', 'score': 330}]",417200
한화생명,5230,+6.09%,146,6.23%,KOSPI,4930.0,6.12%,배신자 / 네이버에 저 pbr주 기사 떳으니[2] / 예금보험공사  10퍼 지분[2] / 대우건설보다는 높아야 하지않나???[1],Positive (81%),"오늘, 먹고, 이제",1,"[{'title': '배신자', 'date': '2026.03.20 15:35', 'views': '323', 'likes': '34', 'dislikes': '1', 'link': '/item/board_read.naver?code=088350&nid=415508656&page=1', 'score': 1343}, {'title': '대우건설보다는 높아야 하지않나???[1]', 'date': '2026.03.20 15:34', 'views': '129', 'likes': '26', 'dislikes': '2', 'link': '/item/board_read.naver?code=088350&nid=415508561&page=2', 'score': 909}, {'title': '예금보험공사  10퍼 지분[2]', 'date': '2026.03.20 08:20', 'views': '299', 'likes': '25', 'dislikes': '0', 'link': '/item/board_read.naver?code=088350&nid=415432488&page=8', 'score': 1049}, {'title': '네이버에 저 pbr주 기사 떳으니[2]', 'date': '2026.03.20 16:08', 'views': '373', 'likes': '23', 'dislikes': '3', 'link': '/item/board_read.naver?code=088350&nid=415512532&page=1', 'score': 1063}, {'title': '잘 먹고 가거라[2]', 'date': '2026.03.20 15:33', 'views': '270', 'likes': '20', 'dislikes': '2', 'link': '/item/board_read.naver?code=088350&nid=415508342&page=2', 'score': 870}, {'title': '2남, 금융계열분리~', 'date': '2026.03.20 13:09', 'views': '225', 'likes': '19', 'dislikes': '3', 'link': '/item/board_read.naver?code=088350&nid=415485697&page=4', 'score': 795}, {'title': '다음주[1]', 'date': '2026.03.20 17:10', 'views': '82', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=088350&nid=415517019&page=1', 'score': 622}, {'title': '뉴스에는 한생 pbr 0.18로 나오네요', 'date': '2026.03.20 10:55', 'views': '198', 'likes': '18', 'dislikes': '0', 'link': '/item/board_read.naver?code=088350&nid=415464145&page=6', 'score': 738}, {'title': '청와대 금감원 지역구 국회의원실에 자료 보내기', 'date': '2026.03.20 18:07', 'views': '68', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=088350&nid=415520375&page=1', 'score': 578}, {'title': '진짜 사력을 다해 죽을힘을 다해 가용수단을 ...[1]', 'date': '2026.03.20 14:07', 'views': '144', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=088350&nid=415494738&page=3', 'score': 654}]",088350
보성파워텍,12850,+6.02%,230,10.16%,KOSDAQ,12120.0,8.06%,구멍가게 굴뚝주 잡고 시총 3조?[3] / 주린이인데 그래서 사야하는건가요 말아야하는건...[2] / 어제 실적 발표한거 보니 전년대비 거의 10... / 외국인이 1백만주 팔든 사든,Positive (68%),"오르비텍, 보성, 시총",1,"[{'title': '구멍가게 굴뚝주 잡고 시총 3조?[3]', 'date': '2026.03.20 17:23', 'views': '130', 'likes': '12', 'dislikes': '1', 'link': '/item/board_read.naver?code=006910&nid=415517895&page=1', 'score': 490}, {'title': '외국인이 1백만주 팔든 사든', 'date': '2026.03.20 17:08', 'views': '64', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=006910&nid=415516892&page=1', 'score': 364}, {'title': '주린이인데 그래서 사야하는건가요 말아야하는건...[2]', 'date': '2026.03.20 10:59', 'views': '158', 'likes': '10', 'dislikes': '3', 'link': '/item/board_read.naver?code=006910&nid=415464951&page=9', 'score': 458}, {'title': '정직한 주식은 실적으로 말한다.[1]', 'date': '2026.03.20 10:42', 'views': '63', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=006910&nid=415461546&page=9', 'score': 363}, {'title': '머머 한다. 카더라만 말고', 'date': '2026.03.20 17:47', 'views': '76', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=006910&nid=415519288&page=1', 'score': 346}, {'title': '한심한 사람들', 'date': '2026.03.20 17:43', 'views': '58', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=006910&nid=415519033&page=1', 'score': 328}, {'title': '주주분들 버티면 크게 갑니다', 'date': '2026.03.20 10:50', 'views': '62', 'likes': '9', 'dislikes': '3', 'link': '/item/board_read.naver?code=006910&nid=415463282&page=9', 'score': 332}, {'title': '어제 실적 발표한거 보니 전년대비 거의 10...', 'date': '2026.03.20 10:48', 'views': '110', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=006910&nid=415462771&page=9', 'score': 380}, {'title': '보성과 두산 신고가[2]', 'date': '2026.03.20 11:06', 'views': '101', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=006910&nid=415466318&page=9', 'score': 341}, {'title': '오늘은 상한가 가는날 맞죠ㅋ[3]', 'date': '2026.03.20 09:39', 'views': '95', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=006910&nid=415448007&page=11', 'score': 305}]",006910
대한해운,2350,+5.15%,134,8.76%,KOSPI,2235.0,7.65%,"SM상선.. 64억 sm자산개발로 대여함.[3] / 챗지피티[1] / 건설자재 건설장비는 뭘로 옮길꺼요? 비행기로?... / 뉴스에는 크게 이슈화되지 않았지만, 오늘 오른...",Positive (70%),"오늘, ..., 대한해운",1,"[{'title': 'SM상선.. 64억 sm자산개발로 대여함.[3]', 'date': '2026.03.20 08:48', 'views': '164', 'likes': '14', 'dislikes': '0', 'link': '/item/board_read.naver?code=005880&nid=415436015&page=7', 'score': 584}, {'title': '건설자재 건설장비는 뭘로 옮길꺼요? 비행기로?...', 'date': '2026.03.20 15:51', 'views': '85', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=005880&nid=415510767&page=1', 'score': 415}, {'title': '정정당당하게 주식배당 줘라', 'date': '2026.03.20 11:25', 'views': '34', 'likes': '10', 'dislikes': '0', 'link': '/item/board_read.naver?code=005880&nid=415469747&page=4', 'score': 334}, {'title': '뉴스에는 크게 이슈화되지 않았지만, 오늘 오른...', 'date': '2026.03.20 17:22', 'views': '116', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=005880&nid=415517836&page=1', 'score': 386}, {'title': '챗지피티[1]', 'date': '2026.03.20 08:14', 'views': '225', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=005880&nid=415431613&page=7', 'score': 495}, {'title': '탈 카타르 LNG선박 수혜주  (대한해운)[2]', 'date': '2026.03.20 08:48', 'views': '133', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=005880&nid=415436009&page=7', 'score': 373}, {'title': '와 부채 6천억 줄이고 당기순이익 100억 증...', 'date': '2026.03.20 16:47', 'views': '89', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=005880&nid=415515380&page=1', 'score': 299}, {'title': 'bts[2]', 'date': '2026.03.20 15:19', 'views': '141', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=005880&nid=415506108&page=1', 'score': 351}, {'title': '여기도', 'date': '2026.03.20 11:35', 'views': '31', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=005880&nid=415471599&page=4', 'score': 241}, {'title': '숏커버링 들어온다고 도대체 몇번을 말해도, ...', 'date': '2026.03.20 10:23', 'views': '53', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=005880&nid=415457915&page=5', 'score': 263}]",005880
한화솔루션,51700,+3.92%,800,14.66%,KOSPI,49750.0,14.46%,형들  나도 평탄 33000원 1억2...[5] / 오늘자 수급 동향[6] / 3시  공시 설명 요청하신분 / 거래  1조7천억터지고  공시호재가나왓는데도[1],Positive (51%),"오늘, 진짜, 태양광",1,"[{'title': '오늘자 수급 동향[6]', 'date': '2026.03.20 16:24', 'views': '725', 'likes': '19', 'dislikes': '4', 'link': '/item/board_read.naver?code=009830&nid=415513825&page=4', 'score': 1295}, {'title': '머스크형 한마디만 해줘', 'date': '2026.03.20 18:14', 'views': '71', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=009830&nid=415520777&page=2', 'score': 611}, {'title': '거래  1조7천억터지고  공시호재가나왓는데도[1]', 'date': '2026.03.20 15:21', 'views': '260', 'likes': '17', 'dislikes': '0', 'link': '/item/board_read.naver?code=009830&nid=415506517&page=8', 'score': 770}, {'title': '오늘 개미 다 털렸네', 'date': '2026.03.20 18:39', 'views': '52', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=009830&nid=415522017&page=2', 'score': 502}, {'title': '전에도 말했듯이 10만은 무조건 간다', 'date': '2026.03.20 18:12', 'views': '78', 'likes': '15', 'dislikes': '5', 'link': '/item/board_read.naver?code=009830&nid=415520665&page=2', 'score': 528}, {'title': '여수산단의 구조개편안', 'date': '2026.03.20 17:37', 'views': '184', 'likes': '15', 'dislikes': '3', 'link': '/item/board_read.naver?code=009830&nid=415518711&page=3', 'score': 634}, {'title': '형들  나도 평탄 33000원 1억2...[5]', 'date': '2026.03.20 17:14', 'views': '918', 'likes': '15', 'dislikes': '2', 'link': '/item/board_read.naver?code=009830&nid=415517307&page=3', 'score': 1368}, {'title': '3시  공시 설명 요청하신분', 'date': '2026.03.20 16:52', 'views': '470', 'likes': '15', 'dislikes': '3', 'link': '/item/board_read.naver?code=009830&nid=415515759&page=4', 'score': 920}, {'title': '56800에 안판 내손이 웬수지', 'date': '2026.03.20 11:15', 'views': '38', 'likes': '15', 'dislikes': '0', 'link': '/item/board_read.naver?code=009830&nid=415467886&page=28', 'score': 488}, {'title': '여수건 해결한다잖아.', 'date': '2026.03.20 18:12', 'views': '201', 'likes': '14', 'dislikes': '1', 'link': '/item/board_read.naver?code=009830&nid=415520644&page=3', 'score': 621}]",009830
두산에너빌리티,109600,+3.10%,730,24.46%,KOSPI,106300.0,24.24%,"주식이 가장 크게 상승하는 시점은 / 주말에 발표나면  ~![1] / 110,000다와간다[1] / 우리 두빌이가 그렇게 애를 태우더니[3]",Positive (66%),"오늘, 두빌, ㅋㅋ",1,"[{'title': '주식이 가장 크게 상승하는 시점은', 'date': '2026.03.20 17:17', 'views': '413', 'likes': '32', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=415517501&page=3', 'score': 1373}, {'title': '110,000다와간다[1]', 'date': '2026.03.20 16:17', 'views': '376', 'likes': '23', 'dislikes': '3', 'link': '/item/board_read.naver?code=034020&nid=415513276&page=4', 'score': 1066}, {'title': '주말에 발표나면  ~![1]', 'date': '2026.03.20 16:16', 'views': '621', 'likes': '23', 'dislikes': '8', 'link': '/item/board_read.naver?code=034020&nid=415513252&page=4', 'score': 1311}, {'title': '월욜 갭상승 120000원 시작', 'date': '2026.03.20 18:12', 'views': '79', 'likes': '21', 'dislikes': '4', 'link': '/item/board_read.naver?code=034020&nid=415520661&page=2', 'score': 709}, {'title': '우리 두빌이가 그렇게 애를 태우더니[3]', 'date': '2026.03.20 17:13', 'views': '407', 'likes': '20', 'dislikes': '0', 'link': '/item/board_read.naver?code=034020&nid=415517193&page=3', 'score': 1007}, {'title': '삼전보다 30만원대 먼저 가겠다 ~![1]', 'date': '2026.03.20 18:37', 'views': '256', 'likes': '19', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=415521912&page=2', 'score': 826}, {'title': '천정 열렸네...슈팅간다', 'date': '2026.03.20 10:39', 'views': '90', 'likes': '19', 'dislikes': '2', 'link': '/item/board_read.naver?code=034020&nid=415460931&page=29', 'score': 660}, {'title': '두산에너빌리티를', 'date': '2026.03.20 16:48', 'views': '116', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=415515435&page=4', 'score': 656}, {'title': '오늘로 개미 매물 전멸[2]', 'date': '2026.03.20 15:17', 'views': '265', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=034020&nid=415505727&page=6', 'score': 805}, {'title': '그동안 억눌렸던거 이제 미친듯이 날라간다[4]', 'date': '2026.03.20 18:22', 'views': '325', 'likes': '17', 'dislikes': '5', 'link': '/item/board_read.naver?code=034020&nid=415521133&page=2', 'score': 835}]",034020
현대ADM,14790,+2.78%,800,1.32%,KOSDAQ,14390.0,1.21%,ADM 3개월 후 가격을 AI에게물어보앗습니다...[4] / 주포형 욕해서 미안해[4] / 일단 2만은 무조건 찍을거 같은데[2] / 오늘 시외 거래가 마지막 최저 거래금액이다[2],Negative (56%),"오늘, 진짜, 시외",1,"[{'title': '일단 2만은 무조건 찍을거 같은데[2]', 'date': '2026.03.20 16:49', 'views': '203', 'likes': '34', 'dislikes': '4', 'link': '/item/board_read.naver?code=187660&nid=415515525&page=3', 'score': 1223}, {'title': '증시 역사상 더큰 재료 없다[1]', 'date': '2026.03.20 17:29', 'views': '182', 'likes': '31', 'dislikes': '3', 'link': '/item/board_read.naver?code=187660&nid=415518227&page=2', 'score': 1112}, {'title': '주포형 욕해서 미안해[4]', 'date': '2026.03.20 15:45', 'views': '375', 'likes': '31', 'dislikes': '1', 'link': '/item/board_read.naver?code=187660&nid=415509975&page=4', 'score': 1305}, {'title': '오늘 시외 거래가 마지막 최저 거래금액이다[2]', 'date': '2026.03.20 17:32', 'views': '304', 'likes': '30', 'dislikes': '6', 'link': '/item/board_read.naver?code=187660&nid=415518422&page=2', 'score': 1204}, {'title': 'ADM 3개월 후 가격을 AI에게물어보앗습니다...[4]', 'date': '2026.03.20 17:24', 'views': '539', 'likes': '30', 'dislikes': '1', 'link': '/item/board_read.naver?code=187660&nid=415517935&page=2', 'score': 1439}, {'title': '진짜 사명변경!', 'date': '2026.03.20 16:54', 'views': '229', 'likes': '28', 'dislikes': '4', 'link': '/item/board_read.naver?code=187660&nid=415515909&page=2', 'score': 1069}, {'title': '털리고 털려서 배워라', 'date': '2026.03.20 17:37', 'views': '221', 'likes': '26', 'dislikes': '2', 'link': '/item/board_read.naver?code=187660&nid=415518715&page=1', 'score': 1001}, {'title': '현재 홈피의 페니트리움 내용', 'date': '2026.03.20 18:53', 'views': '444', 'likes': '25', 'dislikes': '1', 'link': '/item/board_read.naver?code=187660&nid=415522712&page=1', 'score': 1194}, {'title': '이런~~[1]', 'date': '2026.03.20 17:30', 'views': '171', 'likes': '25', 'dislikes': '1', 'link': '/item/board_read.naver?code=187660&nid=415518268&page=2', 'score': 921}, {'title': '●●오늘부로 앱솔루리 페바사&혐바사는 각...[1]', 'date': '2026.03.20 18:36', 'views': '313', 'likes': '24', 'dislikes': '1', 'link': '/item/board_read.naver?code=187660&nid=415521885&page=1', 'score': 1033}]",187660
대성에너지,11140,+2.30%,126,0.62%,KOSPI,10890.0,0.00%,[대성에너지 실적발표] 창사이래 최대실적 발표 / 카타르 파괴 & 우크라-러시아종전[1] / 브랜트유 급반등~107달러 돌파~107.39[1] / 오늘은 이놈이 가스 대장 잡을 것이다,Positive (51%),"가스, 카타르, 오늘",1,"[{'title': '카타르 파괴 & 우크라-러시아종전[1]', 'date': '2026.03.20 17:03', 'views': '162', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=117580&nid=415516500&page=1', 'score': 462}, {'title': '브랜트유 급반등~107달러 돌파~107.39[1]', 'date': '2026.03.20 11:43', 'views': '81', 'likes': '10', 'dislikes': '4', 'link': '/item/board_read.naver?code=117580&nid=415473003&page=4', 'score': 381}, {'title': '[대성에너지 실적발표] 창사이래 최대실적 발표', 'date': '2026.03.20 10:52', 'views': '209', 'likes': '10', 'dislikes': '2', 'link': '/item/board_read.naver?code=117580&nid=415463626&page=4', 'score': 509}, {'title': '오늘은 이놈이 가스 대장 잡을 것이다', 'date': '2026.03.20 08:20', 'views': '38', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=117580&nid=415432432&page=6', 'score': 308}, {'title': '유럽 천연가스 14% 급등 마감.', 'date': '2026.03.20 08:40', 'views': '49', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=117580&nid=415435032&page=6', 'score': 259}, {'title': '쩜상이겠지[1]', 'date': '2026.03.20 08:25', 'views': '34', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=117580&nid=415433092&page=6', 'score': 244}, {'title': 'Sk가스 10프로 상승중', 'date': '2026.03.20 08:02', 'views': '39', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=117580&nid=415430159&page=7', 'score': 249}, {'title': '3만까지 가는주식이다[1]', 'date': '2026.03.20 09:28', 'views': '128', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=117580&nid=415444970&page=5', 'score': 308}, {'title': '가스주대장 상한가간다.[2]', 'date': '2026.03.20 09:19', 'views': '119', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=117580&nid=415442490&page=5', 'score': 299}, {'title': 'ㅋㅋ 가스주떡락  장전에팔음 나이스', 'date': '2026.03.20 08:42', 'views': '38', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=117580&nid=415435264&page=6', 'score': 218}]",117580
